rho_other,mean_diff,ci_lo,ci_hi,simult_lo,simult_hi,significant,equivalent
0.28,4.770264596035626e-06,-0.00012221716748032603,0.0001379659006457594,-0.00015549587299818225,0.00016503640219025348,False,True
0.3,-7.442003608401084e-05,-0.0002918254069521884,0.00010206258133409713,-0.00033971264792735005,0.00019087257575932837,False,True
0.36,0.004419456910093614,-4.163339369331899e-05,0.011094465251768623,-0.003538106377584147,0.012377020197771375,False,True
0.4,0.0021617820918157526,-0.00013026121154039385,0.006656180026788195,-0.003510701534469076,0.00783426571810058,False,True
