pid,arm,family,epsilon,d_clean,d_attacked,d_corrected,q_ctrl,cell_kind,cell_index,action,clipped,refusal_proxy,coherence,output_length,degeneration
534edc395344526e,CLEAN,NONE,0.0,1.7994359750644675,1.7994359750644675,1.7994359750644675,0.0,,,,,1,1.0,9,0
56d592e5a35aa492,CLEAN,NONE,0.0,0.9853118125618542,0.9853118125618542,0.9853118125618542,0.0,,,,,1,1.0,8,0
57eb693f571e981e,CLEAN,NONE,0.0,1.5559668251932537,1.5559668251932537,1.5559668251932537,0.0,,,,,1,1.0,8,0
591a4e18629c8b8b,CLEAN,NONE,0.0,2.203256765882151,2.203256765882151,2.203256765882151,0.0,,,,,1,1.0,8,0
5deab94b0b508fd7,CLEAN,NONE,0.0,1.2790768892000113,1.2790768892000113,1.2790768892000113,0.0,,,,,1,1.0,8,0
60b24df60aadc75f,CLEAN,NONE,0.0,-0.03642364632771101,-0.03642364632771101,-0.03642364632771101,0.0,,,,,1,1.0,8,0
6145be1393c7bb78,CLEAN,NONE,0.0,2.2433578467438933,2.2433578467438933,2.2433578467438933,0.0,,,,,1,1.0,8,0
638bd39d839b2f3b,CLEAN,NONE,0.0,2.200583355897272,2.200583355897272,2.200583355897272,0.0,,,,,1,1.0,8,0
64e2994b6007fa5e,CLEAN,NONE,0.0,1.7467712813075893,1.7467712813075893,1.7467712813075893,0.0,,,,,1,1.0,25,0
66a9cf6df8f667c4,CLEAN,NONE,0.0,2.2843912012869168,2.2843912012869168,2.2843912012869168,0.0,,,,,1,1.0,25,0
66c0d6614575ce18,CLEAN,NONE,0.0,2.0823118968423726,2.0823118968423726,2.0823118968423726,0.0,,,,,1,1.0,8,0
67225a7a44347430,CLEAN,NONE,0.0,2.9925935052846984,2.9925935052846984,2.9925935052846984,0.0,,,,,1,1.0,25,0
674cc2e5b303e82d,CLEAN,NONE,0.0,0.669004776754308,0.669004776754308,0.669004776754308,0.0,,,,,1,1.0,8,0
6a3147aa34b63855,CLEAN,NONE,0.0,1.0045081067550916,1.0045081067550916,1.0045081067550916,0.0,,,,,1,1.0,8,0
6be3422784fd842e,CLEAN,NONE,0.0,1.9075374876775362,1.9075374876775362,1.9075374876775362,0.0,,,,,1,1.0,40,0
6c846e533f216006,CLEAN,NONE,0.0,1.2301536579866206,1.2301536579866206,1.2301536579866206,0.0,,,,,1,1.0,8,0
