family,n,seed,field,A,logA,r_star
B2_central,2,0,linear,0.8222426499470711,-0.08500000000000003,0.34636
B2_central,2,0,linear,0.9120108393559098,-0.03999999999999999,0.34814
B2_central,2,0,linear,1.0115794542598986,0.005000000000000029,0.350135
B2_central,2,0,linear,1.1220184543019633,0.04999999999999996,0.35238
B2_central,2,0,linear,1.244514611771385,0.09499999999999997,0.35491
B2_central,2,0,linear,1.3803842646028848,0.13999999999999999,0.35777
B2_central,2,0,linear,1.53108746168203,0.18499999999999997,0.361005
B2_central,2,0,linear,1.6982436524617444,0.23,0.364685
B2_central,2,0,linear,1.8836490894898006,0.275,0.36888
B2_central,2,0,linear,2.0892961308540396,0.32,0.373695
B2_central,2,0,linear,2.3173946499684783,0.36499999999999994,0.379255
B2_central,2,0,linear,2.5703957827688635,0.4099999999999999,0.385735
B2_central,2,0,linear,2.8510182675039095,0.455,0.39336
B2_central,2,0,linear,3.1622776601683795,0.5,0.402495
B2_central,2,0,linear,3.5075187395256804,0.545,0.413715
B2_central,2,0,linear,3.890451449942806,0.59,0.428095
B2_central,2,0,linear,4.3151907682776525,0.635,0.448295
B2_central,2,0,linear,4.786300923226384,0.68,0.49339
B2_central,2,0,linear,5.3088444423098835,0.725,1.0
B2_central,2,0,linear,5.88843655355589,0.77,1.0
B2_central,2,0,linear,6.531305526474723,0.815,1.0
B2_central,2,0,linear,7.244359600749901,0.86,1.0
B2_central,2,0,linear,8.035261221856173,0.905,1.0
B2_central,2,0,linear,8.912509381337454,0.95,1.0
B2_central,2,0,linear,9.885530946569387,0.995,1.0
B2_central,2,0,linear,10.964781961431852,1.04,1.0
B2_central,2,0,linear,12.161860006463678,1.085,1.0
B2_central,2,0,linear,13.489628825916533,1.13,1.0
B2_central,2,0,linear,14.962356560944336,1.175,1.0
B2_central,2,0,linear,16.595869074375607,1.22,1.0
B2_central,2,0,linear,18.407720014689556,1.265,1.0
B2_central,2,0,linear,20.417379446695296,1.31,1.0
B2_central,2,0,linear,22.646443075930595,1.355,1.0
B2_central,2,0,linear,25.118864315095795,1.4,1.0
