family,n,seed,ell,P,W
B4_random,2,11,0.3333,2.249999999587337,0.2222621525487939
B4_random,2,12,0.002,0.0,0.0
B4_random,2,12,0.005,0.0,0.0
B4_random,2,12,0.01,0.0,0.0
B4_random,2,12,0.02,0.0,0.0
B4_random,2,12,0.05,0.0,0.0
B4_random,2,12,0.1,0.0,0.0
B4_random,2,12,0.2,0.1773806393251861,0.0005995803650870147
B4_random,2,12,0.3333,2.1924194575719564,0.1905328377469403
B4_random,2,13,0.002,0.0,0.0
B4_random,2,13,0.005,0.0,0.0
B4_random,2,13,0.01,0.0,0.0
B4_random,2,13,0.02,0.0,0.0
B4_random,2,13,0.05,0.0,0.0
B4_random,2,13,0.1,0.0,0.0
B4_random,2,13,0.2,0.0,0.0
B4_random,2,13,0.3333,1.599743866008543,0.08068883655953324
B4_random,2,14,0.002,0.0,0.0
B4_random,2,14,0.005,0.0,0.0
B4_random,2,14,0.01,0.0,0.0
B4_random,2,14,0.02,0.0,0.0
B4_random,2,14,0.05,0.0,0.0
B4_random,2,14,0.1,0.0,0.0
B4_random,2,14,0.2,0.4088431706891428,0.0033067960337667124
B4_random,2,14,0.3333,2.2252905674390058,0.21085689764655913
B4_random,2,15,0.002,0.0,0.0
B4_random,2,15,0.005,0.0,0.0
B4_random,2,15,0.01,0.0,0.0
B4_random,2,15,0.02,0.0,0.0
B4_random,2,15,0.05,0.0,0.0
B4_random,2,15,0.1,0.0,0.0
B4_random,2,15,0.2,0.0,0.0
B4_random,2,15,0.3333,2.2499999999683578,0.12247789271064558
B4_random,2,16,0.002,0.0,0.0
B4_random,2,16,0.005,0.0,0.0
B4_random,2,16,0.01,0.0,0.0
B4_random,2,16,0.02,0.0,0.0
B4_random,2,16,0.05,0.0,0.0
B4_random,2,16,0.1,0.0,0.0
B4_random,2,16,0.2,0.2735973769371239,0.001447954256724393
B4_random,2,16,0.3333,2.20750387839522,0.19879902818670003
B4_random,2,17,0.002,0.0,0.0
B4_random,2,17,0.005,0.0,0.0
B4_random,2,17,0.01,0.0,0.0
B4_random,2,17,0.02,0.0,0.0
B4_random,2,17,0.05,0.0,0.0
B4_random,2,17,0.1,0.0,0.0
B4_random,2,17,0.2,0.0,0.0
