model,layer,attack,bin,tau_global,sigma_global,tau_cond,sigma_cond,delta_norm,sigma_ratio,n_h,n_b,phase
qwen2.5-0.5b-instruct,16,suffix_simple,gen_9-16,2.1352867045273474,1.730454490648656,1.1569270191913736,1.0102604033389138,-0.5653772986362896,0.5838121769733571,224,224,generation
qwen2.5-0.5b-instruct,16,suffix_simple,prefill,2.1352867045273474,1.730454490648656,1.2017416405890669,0.6686097513926526,-0.5394796967982346,0.38637811916222425,28,28,prefill
qwen2.5-0.5b-instruct,20,hypothetical_dev,gen_1,-1.573161624624793,3.766753231252234,-1.0547635086945124,2.7799386500317667,0.13762465553336564,0.7380198487564829,28,28,generation
qwen2.5-0.5b-instruct,20,hypothetical_dev,gen_17+,-1.573161624624793,3.766753231252234,-1.5260738806456935,2.666196585691312,0.012500883675739361,0.7078235344886002,196,196,generation
qwen2.5-0.5b-instruct,20,hypothetical_dev,gen_2-4,-1.573161624624793,3.766753231252234,-2.1375784061494327,2.753269981477496,-0.14984171961193296,0.7309398339753169,84,84,generation
qwen2.5-0.5b-instruct,20,hypothetical_dev,gen_5-8,-1.573161624624793,3.766753231252234,-0.8857760570411171,4.090312238504724,0.1824875497233353,1.0858986472933683,112,112,generation
qwen2.5-0.5b-instruct,20,hypothetical_dev,gen_9-16,-1.573161624624793,3.766753231252234,-1.594011069674577,2.826339131892952,-0.005535123691352822,0.7503382776559943,224,224,generation
qwen2.5-0.5b-instruct,20,hypothetical_dev,prefill,-1.573161624624793,3.766753231252234,5.038846431033952,1.6730322970697438,1.755360027516489,0.4441576589591335,28,28,prefill
qwen2.5-0.5b-instruct,20,plain,gen_1,-1.573161624624793,3.766753231252234,1.0678669831582477,4.303779459500521,0.7011419239972476,1.1425700584239642,28,28,generation
qwen2.5-0.5b-instruct,20,plain,gen_17+,-1.573161624624793,3.766753231252234,-2.360272152691471,2.5984365943784034,-0.20896259450609356,0.689834569681797,196,196,generation
qwen2.5-0.5b-instruct,20,plain,gen_2-4,-1.573161624624793,3.766753231252234,-0.15154961993296945,3.7973078716555193,0.3774104427380334,1.0081116650142563,84,84,generation
qwen2.5-0.5b-instruct,20,plain,gen_5-8,-1.573161624624793,3.766753231252234,1.8756552535508362,5.372079455648131,0.9155940584483394,1.4261830085062983,112,112,generation
qwen2.5-0.5b-instruct,20,plain,gen_9-16,-1.573161624624793,3.766753231252234,-1.5811161369617497,3.2766086263497347,-0.0021117689024487078,0.8698761042173305,224,224,generation
qwen2.5-0.5b-instruct,20,plain,prefill,-1.573161624624793,3.766753231252234,3.434086101395743,4.159428867057076,1.3293272531038374,1.1042477730016573,28,28,prefill
qwen2.5-0.5b-instruct,20,prefix_sure,gen_1,-1.573161624624793,3.766753231252234,1.0221668247665678,4.3274413777478875,0.689009417409741,1.1488518392560736,28,28,generation
qwen2.5-0.5b-instruct,20,prefix_sure,gen_17+,-1.573161624624793,3.766753231252234,-2.1903438941404527,2.6709242904405577,-0.1638499343134515,0.709078648497668,196,196,generation
qwen2.5-0.5b-instruct,20,prefix_sure,gen_2-4,-1.573161624624793,3.766753231252234,-0.6049608545643942,3.8417764559367646,0.2570385450332584,1.0199172125378624,84,84,generation
qwen2.5-0.5b-instruct,20,prefix_sure,gen_5-8,-1.573161624624793,3.766753231252234,1.232716449137245,5.567544951181291,0.7449062631663931,1.4780753103198097,112,112,generation
qwen2.5-0.5b-instruct,20,prefix_sure,gen_9-16,-1.573161624624793,3.766753231252234,-1.3847281533692564,3.4102969628870268,0.050025435617106546,0.905367767283575,224,224,generation
qwen2.5-0.5b-instruct,20,prefix_sure,prefill,-1.573161624624793,3.766753231252234,2.5299151859113147,4.492258191409682,1.0892873938471581,1.1926075098676583,28,28,prefill
qwen2.5-0.5b-instruct,20,roleplay_dev,gen_1,-1.573161624624793,3.766753231252234,0.3603649799312864,2.181022140048202,0.5133138503775281,0.5790191196897533,28,28,generation
qwen2.5-0.5b-instruct,20,roleplay_dev,gen_17+,-1.573161624624793,3.766753231252234,-3.0508157951491217,2.7366230394026636,-0.39228855191904666,0.7265203933980273,196,196,generation
qwen2.5-0.5b-instruct,20,roleplay_dev,gen_2-4,-1.573161624624793,3.766753231252234,0.3710881521304449,2.9326016757953703,0.5161606448290971,0.7785489241673644,84,84,generation
qwen2.5-0.5b-instruct,20,roleplay_dev,gen_5-8,-1.573161624624793,3.766753231252234,0.3652718309313059,4.919060633123165,0.5146165242451199,1.3059152886125895,112,112,generation
qwen2.5-0.5b-instruct,20,roleplay_dev,gen_9-16,-1.573161624624793,3.766753231252234,-2.7174141337828974,3.3126479862926455,-0.30377687066527176,0.879443855999926,224,224,generation
qwen2.5-0.5b-instruct,20,roleplay_dev,prefill,-1.573161624624793,3.766753231252234,1.2175797309194294,1.5171174990202065,0.7408877577617309,0.40276530101119745,28,28,prefill
qwen2.5-0.5b-instruct,20,suffix_simple,gen_1,-1.573161624624793,3.766753231252234,-1.5103168955871036,0.5806568014019099,0.016684057908618852,0.1541531302301091,28,28,generation
qwen2.5-0.5b-instruct,20,suffix_simple,gen_17+,-1.573161624624793,3.766753231252234,-3.5693683235012754,2.3750182521907344,-0.5299542009585947,0.6305213286831572,196,196,generation
qwen2.5-0.5b-instruct,20,suffix_simple,gen_2-4,-1.573161624624793,3.766753231252234,-2.586546276296888,1.5701495684189462,-0.26903399013882345,0.4168442879113054,84,84,generation
qwen2.5-0.5b-instruct,20,suffix_simple,gen_5-8,-1.573161624624793,3.766753231252234,-3.157792741166694,2.654497967027005,-0.42068885835005976,0.7047177779003413,112,112,generation
qwen2.5-0.5b-instruct,20,suffix_simple,gen_9-16,-1.573161624624793,3.766753231252234,-4.0165847879169245,2.644811160996251,-0.6486815071981317,0.7021461185863241,224,224,generation
qwen2.5-0.5b-instruct,20,suffix_simple,prefill,-1.573161624624793,3.766753231252234,-4.047846138477325,1.1085886184109164,-0.6569807900662075,0.29430879867922033,28,28,prefill
