model,rho,depth,eta,false_refusal,coherence,mean_words
qwen2.5-0.5b-instruct,0.24,2,0.33137999175314303,0.4583333333333333,0.9985558155337316,34.208333333333336
qwen2.5-0.5b-instruct,0.3333333333333333,2,0.18373498842592234,0.4583333333333333,0.9985558155337316,34.375
qwen2.5-0.5b-instruct,0.4,2,0.13717837550824058,0.4583333333333333,0.9985558155337316,34.208333333333336
qwen2.5-0.5b-instruct,0.24,5,0.41617340558523297,0.4583333333333333,0.9985573309607788,34.375
qwen2.5-0.5b-instruct,0.3333333333333333,5,0.38911046613453837,0.4583333333333333,0.9985573309607788,34.375
qwen2.5-0.5b-instruct,0.4,5,0.2952187647730233,0.4583333333333333,0.9985558155337316,34.375
