control,metric,n,n_conditions,mean_delta,median_delta,ci_lo,ci_hi,frac_delta_pos,mean_pct_rank,mean_effect_size
G5_shuffled,D_max,4,225,-0.00014947162792799414,-1.3877787807814457e-17,-0.0003009032796752564,6.795542573012086e-7,0.17333333333333334,49.77777777777777,-0.007300571294564233
G5_shuffled,D_max,5,225,-1.1722026704185311e-5,-2.7755575615628914e-17,-5.4781722298797545e-5,4.347841739682895e-5,0.11555555555555555,49.14074074074074,-0.03784105708127832
G5_shuffled,D_max,6,225,-3.4241584293220205e-5,-2.7755575615628914e-17,-7.830200291731037e-5,2.4563025851114664e-5,0.1111111111111111,49.18518518518519,-0.03122239618905162
G5_shuffled,D_max,7,225,-3.84719700729196e-5,-2.7755575615628914e-17,-8.127272118324549e-5,1.9071656855201688e-5,0.1111111111111111,49.4,-0.03357293107958883
G5_shuffled,D_max,8,225,-2.6714860527269923e-5,-2.7755575615628914e-17,-6.698508262497657e-5,2.816788269607943e-5,0.1111111111111111,49.49629629629629,-0.017740007510680392
G3_periodic,R_safe,1,225,0.0025268148148148233,0.0,0.00026205925925926573,0.0050896444444444525,0.2311111111111111,47.77777777777778,NaN
G3_periodic,R_safe,2,225,0.010139851851851836,0.0005333333333332746,0.007462133333333321,0.012997637037037029,0.5022222222222222,62.666666666666664,NaN
G3_periodic,R_safe,3,225,0.0006518518518518512,0.00039999999999995595,-0.00015445925925926018,0.001438903703703703,0.5377777777777778,71.77777777777777,NaN
G3_periodic,R_safe,4,225,-0.0005407407407407315,0.0,-0.0026831185185185098,0.0013120740740740844,0.49333333333333335,67.55555555555556,NaN
G3_periodic,R_safe,5,225,0.0027656296296296344,0.0009333333333334526,0.0020974370370370394,0.00341217777777778,0.5377777777777778,71.77777777777777,NaN
G3_periodic,R_safe,6,225,0.002052740740740738,0.0009333333333332305,0.0008367111111111098,0.0030669703703703663,0.5688888888888889,75.11111111111111,NaN
G3_periodic,R_safe,7,225,0.002805629629629634,0.0006000000000000449,0.001558800000000006,0.003943762962962963,0.5555555555555556,73.55555555555556,NaN
G3_periodic,R_safe,8,225,0.000957925925925928,0.0,-0.00013125925925925377,0.001824622222222226,0.4711111111111111,65.11111111111111,NaN
G3_periodic,D_mean,1,225,0.010250823140165424,0.002572431684833245,0.006008407318861075,0.01494929968117545,0.6533333333333333,75.33333333333333,NaN
G3_periodic,D_mean,2,225,0.003207304967184408,0.001408668252282804,0.0010149666089731499,0.005855584432638141,0.6222222222222222,68.22222222222223,NaN
G3_periodic,D_mean,3,225,0.00047739063545278946,0.0007302188123929128,3.515791419408095e-5,0.0009435903263507569,0.5777777777777777,63.77777777777778,NaN
G3_periodic,D_mean,4,225,-0.0005163091000084975,0.0,-0.0009232208538300152,-0.00011779828139298742,0.49333333333333335,51.333333333333336,NaN
G3_periodic,D_mean,5,225,-0.0019184854692281491,-0.0011283933512746692,-0.0023211509160717537,-0.0015401669676394438,0.28444444444444444,30.444444444444443,NaN
G3_periodic,D_mean,6,225,-0.0028856862508376976,-0.0022075314325702717,-0.0032802238077296957,-0.0025086957031430542,0.1111111111111111,13.11111111111111,NaN
G3_periodic,D_mean,7,225,-0.0035300084188649565,-0.00278934684483656,-0.003954183759929109,-0.0031020212535615623,0.07111111111111111,9.11111111111111,NaN
G3_periodic,D_mean,8,225,-0.003058129214323179,-0.0030304065463718118,-0.0034596851111091953,-0.0026569768701862656,0.09777777777777778,11.777777777777779,NaN
G3_periodic,D_max,1,225,0.15042405041329945,0.0,0.09264654503948605,0.21624138545670943,0.24888888888888888,58.44444444444444,NaN
G3_periodic,D_max,2,225,0.045159744398577666,0.0,0.015122842053472552,0.08135814314757787,0.16,49.333333333333336,NaN
G3_periodic,D_max,3,225,0.007050518007531574,0.0,-1.5345097547019162e-6,0.017478025987371065,0.04,44.888888888888886,NaN
G3_periodic,D_max,4,225,-9.445168902448792e-5,0.0,-0.00031538582011184134,0.00011289620674603888,0.057777777777777775,50.0,NaN
G3_periodic,D_max,5,225,-1.8315758392344093e-5,0.0,-7.995620315192908e-5,5.4166703516186383e-5,0.013333333333333334,48.22222222222222,NaN
G3_periodic,D_max,6,225,9.806693684118646e-6,0.0,-3.395769095574581e-5,6.883301071080016e-5,0.008888888888888889,49.111111111111114,NaN
G3_periodic,D_max,7,225,2.9581845716935502e-5,0.0,0.0,7.75872546069081e-5,0.008888888888888889,50.44444444444444,NaN
G3_periodic,D_max,8,225,2.694744719923086e-5,0.0,-8.358384203547903e-6,8.49816398881235e-5,0.008888888888888889,50.0,NaN
G4_central,R_safe,1,225,0.0,0.0,0.0,0.0,0.0,50.0,NaN
G4_central,R_safe,2,225,-4.088888888888291e-5,0.0,-0.0034520222222222136,0.002982629629629632,0.4622222222222222,64.22222222222223,NaN
G4_central,R_safe,3,225,-0.00456533333333333,0.0,-0.008270555555555547,-0.0013506592592592507,0.39111111111111113,57.111111111111114,NaN
G4_central,R_safe,4,225,-0.008532444444444433,0.0,-0.012075962962962955,-0.005163348148148129,0.28888888888888886,46.888888888888886,NaN
G4_central,R_safe,5,225,-0.011015703703703692,0.0,-0.014735740740740735,-0.00763016296296295,0.24444444444444444,42.44444444444444,NaN
G4_central,R_safe,6,225,-0.012709037037037027,0.0,-0.01622608888888888,-0.009107837037037025,0.2222222222222222,40.22222222222222,NaN
G4_central,R_safe,7,225,-0.013833777777777768,0.0,-0.017450414814814807,-0.010419251851851838,0.19111111111111112,37.111111111111114,NaN
G4_central,R_safe,8,225,-0.013339259259259249,0.0,-0.016961511111111088,-0.009845599999999986,0.18666666666666668,36.666666666666664,NaN
G4_central,D_mean,1,225,0.0,0.0,0.0,0.0,0.0,50.0,NaN
G4_central,D_mean,2,225,-0.00354804268237815,0.0,-0.006984404751331013,-0.0006504582798850567,0.18222222222222223,36.22222222222222,NaN
G4_central,D_mean,3,225,-0.002428014244008438,0.0,-0.0058890368029187274,0.0003177561696651245,0.25333333333333335,43.333333333333336,NaN
G4_central,D_mean,4,225,-0.00019439441362072022,0.0,-0.002978276225319205,0.0020253632201719654,0.3333333333333333,51.333333333333336,NaN
