n,h0,tau_S,tau_relax,tau_min,faster_than_relax,bound_violated,R_safe
4,0.08,1.7057594048863447,1.155323626904165,0.14620796968728453,false,false,0.9431666666666667
5,0.08,1.7382525561744888,1.155323626904165,0.14620796968728453,false,false,0.9420333333333333
6,0.08,1.7576576486967173,1.155323626904165,0.14620796968728453,false,false,0.9414333333333335
7,0.08,1.7671559046140473,1.155323626904165,0.14620796968728453,false,false,0.9411
8,0.08,1.7718767501342245,1.155323626904165,0.14620796968728453,false,false,0.9409666666666666
9,0.08,1.7124190070637793,1.155323626904165,0.14620796968728453,false,false,0.9429
10,0.08,1.5978269729898813,1.155323626904165,0.14620796968728453,false,false,0.9467666666666668
0,0.09,0.25563628877406847,1.1252016874303392,0.1407494457293589,true,false,0.298
1,0.09,0.25577012414075045,1.1252016874303392,0.1407494457293589,true,false,0.9915
2,0.09,0.5396621349819714,1.1252016874303392,0.1407494457293589,true,false,0.9820333333333334
3,0.09,0.7962539765575453,1.1252016874303392,0.1407494457293589,true,false,0.9734333333333333
4,0.09,1.7062953166203432,1.1252016874303392,0.1407494457293589,false,false,0.9430999999999999
5,0.09,1.7382254600100906,1.1252016874303392,0.1407494457293589,false,false,0.9420333333333333
6,0.09,1.757121564067533,1.1252016874303392,0.1407494457293589,false,false,0.9414333333333335
7,0.09,1.764917637119769,1.1252016874303392,0.1407494457293589,false,false,0.9411666666666666
8,0.09,1.7711680828452985,1.1252016874303392,0.1407494457293589,false,false,0.9409666666666666
9,0.09,1.7199477273048631,1.1252016874303392,0.1407494457293589,false,false,0.9427000000000001
10,0.09,1.5059171199577233,1.1252016874303392,0.1407494457293589,false,false,0.9498333333333334
0,0.1,0.24981894751508307,1.094335921692375,0.13526698080029098,true,false,0.29786666666666667
1,0.1,0.24996748933404156,1.094335921692375,0.13526698080029098,true,false,0.9917
2,0.1,0.5196673485805137,1.094335921692375,0.13526698080029098,true,false,0.9827
3,0.1,0.7398264316566292,1.094335921692375,0.13526698080029098,true,false,0.9753666666666666
4,0.1,1.6116059070545068,1.094335921692375,0.13526698080029098,false,false,0.9463
5,0.1,1.7039634512795525,1.094335921692375,0.13526698080029098,false,false,0.9432333333333334
6,0.1,1.7458436431491884,1.094335921692375,0.13526698080029098,false,false,0.9418333333333333
7,0.1,1.7491285178355542,1.094335921692375,0.13526698080029098,false,false,0.9417000000000001
8,0.1,1.7711482111693753,1.094335921692375,0.13526698080029098,false,false,0.9409666666666666
9,0.1,1.6942901952366756,1.094335921692375,0.13526698080029098,false,false,0.9435
10,0.1,1.4887012919226292,1.094335921692375,0.13526698080029098,false,false,0.9503666666666667
0,0.11,0.2438937177645195,1.0626886617120124,0.12976036396539542,true,false,0.298
1,0.11,0.24425821439089843,1.0626886617120124,0.12976036396539542,true,false,0.9918333333333333
2,0.11,0.493509141153783,1.0626886617120124,0.12976036396539542,true,false,0.9835666666666667
3,0.11,0.699825232027873,1.0626886617120124,0.12976036396539542,true,false,0.9767
4,0.11,1.611637333520897,1.0626886617120124,0.12976036396539542,false,false,0.9463
5,0.11,1.623676485530826,1.0626886617120124,0.12976036396539542,false,false,0.9459
6,0.11,1.7187249223013863,1.0626886617120124,0.12976036396539542,false,false,0.9427000000000001
7,0.11,1.725857887338831,1.0626886617120124,0.12976036396539542,false,false,0.9425000000000001
8,0.11,1.722211356196834,1.0626886617120124,0.12976036396539542,false,false,0.9425666666666667
9,0.11,1.6797998064692168,1.0626886617120124,0.12976036396539542,false,false,0.9440333333333334
10,0.11,1.2574775933819269,1.0626886617120124,0.12976036396539542,false,false,0.9581000000000001
0,0.12,0.23785208891320708,1.0302193037079368,0.124229381489951,true,false,0.29773333333333335
1,0.12,0.2380152223107367,1.0302193037079368,0.124229381489951,true,false,0.9920333333333333
2,0.12,0.4596089953757363,1.0302193037079368,0.124229381489951,true,false,0.9847
3,0.12,0.6579075452653304,1.0302193037079368,0.124229381489951,true,false,0.9781
4,0.12,1.6117617487998268,1.0302193037079368,0.124229381489951,false,false,0.9463
5,0.12,1.6236583778447709,1.0302193037079368,0.124229381489951,false,false,0.9459
6,0.12,1.6300235125543314,1.0302193037079368,0.124229381489951,false,false,0.9456333333333333
7,0.12,1.6337696693198729,1.0302193037079368,0.124229381489951,false,false,0.9455666666666667
8,0.12,1.6346219154175832,1.0302193037079368,0.124229381489951,false,false,0.9455000000000001
9,0.12,1.61562315913334,1.0302193037079368,0.124229381489951,false,false,0.9461666666666667
10,0.12,1.076745040065483,1.0302193037079368,0.124229381489951,false,false,0.9641000000000001
0,0.13,0.23168462204589318,0.9968839948552349,0.11867381678942088,true,false,0.29786666666666667
1,0.13,0.23182154035842814,0.9968839948552349,0.11867381678942088,true,false,0.9923000000000001
2,0.13,0.42530571312048443,0.9968839948552349,0.11867381678942088,true,false,0.9858333333333333
3,0.13,0.6180684715577516,0.9968839948552349,0.11867381678942088,true,false,0.9793666666666667
4,0.13,0.7706956449982068,0.9968839948552349,0.11867381678942088,true,false,0.9742999999999999
5,0.13,1.6236576202033894,0.9968839948552349,0.11867381678942088,false,false,0.9459
6,0.13,1.6300261614830047,0.9968839948552349,0.11867381678942088,false,false,0.9456333333333333
7,0.13,1.6344073236752523,0.9968839948552349,0.11867381678942088,false,false,0.9455000000000001
8,0.13,1.634620008634977,0.9968839948552349,0.11867381678942088,false,false,0.9455000000000001
