model,mse_id,mse_ood,delta_ood_mse,rsafe_id,rsafe_ood,delta_ood_rsafe,dmax_id,dmax_ood,dmean_ood,tau_inf_frac_ood,trec_inf_frac_ood,adversarial_R_safe,final_loss,mean_gnorm
neural_none,0.004438546073980452,0.005786131836361729,0.0013475857623812771,0.9946076388888889,0.9679318965517245,0.02667574233716441,0.2785170285610844,0.28352192200531057,0.04802932424025933,0.0,0.0,0.9963750000000001,0.0032379576355364968,0.059977609063245944
neural_cantor_n3,0.0018188531430794143,0.0018462850664904954,2.7431923411081176e-5,0.9911197916666666,0.9924767241379312,-0.0013569324712645603,0.2605640862599151,0.26177268636836387,0.026083454528162218,0.0,0.0,0.975625,0.0008986867675048084,0.06043152410926969
neural_random_n3_s1,0.001859705963908753,0.001851550898242107,-8.15506566664609e-6,0.9925711805555557,0.9933301724137932,-0.0007589918582374677,0.2583040225605647,0.2590176515584141,0.03017494234566958,0.0,0.0,0.978375,0.0013149255712442858,0.05835050285503512
neural_random_n3_s2,0.0019317704605433404,0.001969908402626847,3.813794208350663e-5,0.9913246527777778,0.9924422413793105,-0.0011175886015326597,0.2630910544387282,0.2639364460846379,0.028791734694499117,0.0,0.0,0.969375,0.00088916159574265,0.05715358464699016
neural_random_n3_s3,0.001888360687453852,0.001905774938240326,1.7414250786473937e-5,0.9895694444444447,0.9912077586206895,-0.0016383141762448261,0.2625473285504458,0.2633632444810192,0.02830674286490945,0.0,0.0,0.9713750000000001,0.0007873138560140228,0.057410337497125256
neural_smooth_b10,0.0035896651273380578,0.0050573828739039015,0.0014677177465658438,0.9946180555555555,0.9738629310344826,0.020755124521072865,0.2773517846580301,0.28474728062954596,0.043028491674890465,0.0,0.0,0.992125,0.002467949377865101,0.05926444713896213
neural_smooth_b50,0.0017525247302301922,0.001774556007551384,2.2031277321191882e-5,0.9910538194444446,0.9919491379310346,-0.0008953184865899688,0.2619828791603802,0.26416102989471885,0.026695127471973626,0.0,0.0,0.968625,0.0007455862839562312,0.05870652005288341
neural_smooth_b200,0.0016716054950083005,0.001680162944106738,8.55744909843744e-6,0.988684027777778,0.9899836206896551,-0.00129959291187709,0.26102044372909305,0.2621871654390825,0.027548932516286373,0.0,0.0,0.9636250000000001,0.0006223544658508235,0.056558594436613326
