n,argmax_theory,argmax_numeric,equals_one_third
1,0.25,0.25,False
2,0.3333333333333333,0.333334153,True
3,0.375,0.37499998,False
4,0.4,0.39999997600000003,False
5,0.4166666666666667,0.416665807,False
6,0.42857142857142855,0.428571043,False
7,0.4375,0.43749997,False
8,0.4444444444444444,0.444444691,False
9,0.45,0.44999996800000003,False
10,0.45454545454545453,0.454545649,False
11,0.4583333333333333,0.45833413300000003,False
12,0.46153846153846156,0.461537851,False
