kappa,argmax_numeric,argmax_theory,abs_error,max_value_numeric,max_value_theory
0.5,0.39999997600000003,0.4,2.399999998736746e-08,0.39999997600000003,0.4
0.75,0.363637027,0.36363636363636365,6.633636363551076e-07,0.36363459466666664,0.36363636363636365
1.0,0.333334153,0.3333333333333333,8.196666667070751e-07,0.33333169399999996,0.3333333333333333
1.25,0.307691914,0.3076923076923077,3.9369230769858987e-07,0.307691914,0.3076923076923077
1.5,0.285713209,0.2857142857142857,1.0767142856749068e-06,0.285713209,0.2857142857142857
2.0,0.25,0.25,0.0,0.25,0.25
