depth,rho_other,mean_diff,ci_lo,ci_hi,equivalent,significant,feasible_depth,spread
2,0.24,0.004558820491351299,-0.016111263927600417,0.02557890801269659,True,False,True,
2,0.4,0.005818573537493868,-0.009519856063739921,0.02177163411271746,True,False,True,0.0058185735374938485
5,0.24,-0.0015366242477097575,-0.025755475536162004,0.02308950085646273,True,False,False,
5,0.4,0.005349365091094128,-0.024640389194561175,0.03529581833512229,False,False,False,0.006885989338803911
