n,family,model,n_components,exact_scale_transfer,M1_canonical_bits,M3_point_query_words,materialised_words,serialized_bytes,gzip_bytes,ast_nodes,explicit_params
12,shuffled_explicit,D1,4095,False,786376,12285,12285,57373,197,12289,12285
12,learned_minimax_explicit,D1,4095,False,648,12285,12285,69,58,14,11
13,cantor_recursive,D3,8191,True,208,4,24573,63,67,9,6
13,recursive_non_cantor,D3,8191,True,208,4,24573,49,66,9,6
13,periodic_procedural,D2,8191,False,112,4,24573,32,49,6,4
13,shuffled_seeded,D2,8191,False,184,24573,24573,56,68,8,5
13,center_anchored_seeded,D2,8191,False,184,24573,24573,56,69,8,5
13,shuffled_explicit,D1,8191,False,1572808,24573,24573,57387,196,24577,24573
13,learned_minimax_explicit,D1,8191,False,648,24573,24573,69,58,14,11
14,cantor_recursive,D3,16383,True,208,4,49149,63,65,9,6
14,recursive_non_cantor,D3,16383,True,208,4,49149,49,65,9,6
14,periodic_procedural,D2,16383,False,112,4,49149,32,49,6,4
14,shuffled_seeded,D2,16383,False,184,49149,49149,56,68,8,5
14,center_anchored_seeded,D2,16383,False,184,49149,49149,56,69,8,5
14,shuffled_explicit,D1,16383,False,3145672,49149,49149,57388,196,49153,49149
14,learned_minimax_explicit,D1,16383,False,648,49149,49149,69,58,14,11
15,cantor_recursive,D3,32767,True,208,4,98301,63,67,9,6
15,recursive_non_cantor,D3,32767,True,208,4,98301,49,66,9,6
15,periodic_procedural,D2,32767,False,112,4,98301,32,49,6,4
15,shuffled_seeded,D2,32767,False,184,98301,98301,56,68,8,5
15,center_anchored_seeded,D2,32767,False,184,98301,98301,56,69,8,5
15,shuffled_explicit,D1,32767,False,6291400,98301,98301,57388,198,98305,98301
15,learned_minimax_explicit,D1,32767,False,648,98301,98301,69,57,14,11
16,cantor_recursive,D3,65535,True,208,4,196605,63,67,9,6
16,recursive_non_cantor,D3,65535,True,208,4,196605,49,66,9,6
16,periodic_procedural,D2,65535,False,112,4,196605,32,49,6,4
16,shuffled_seeded,D2,65535,False,184,196605,196605,56,68,8,5
16,center_anchored_seeded,D2,65535,False,184,196605,196605,56,69,8,5
16,shuffled_explicit,D1,65535,False,12582856,196605,196605,57388,197,196609,196605
16,learned_minimax_explicit,D1,65535,False,648,196605,196605,69,58,14,11
17,cantor_recursive,D3,131071,True,208,4,393213,63,67,9,6
17,recursive_non_cantor,D3,131071,True,208,4,393213,49,66,9,6
17,periodic_procedural,D2,131071,False,112,4,393213,32,49,6,4
17,shuffled_seeded,D2,131071,False,184,393213,393213,56,68,8,5
17,center_anchored_seeded,D2,131071,False,184,393213,393213,56,69,8,5
17,shuffled_explicit,D1,131071,False,25165768,393213,393213,57389,196,393217,393213
17,learned_minimax_explicit,D1,131071,False,648,393213,393213,69,58,14,11
18,cantor_recursive,D3,262143,True,208,4,786429,63,67,9,6
18,recursive_non_cantor,D3,262143,True,208,4,786429,49,66,9,6
18,periodic_procedural,D2,262143,False,112,4,786429,32,49,6,4
18,shuffled_seeded,D2,262143,False,184,786429,786429,56,68,8,5
18,center_anchored_seeded,D2,262143,False,184,786429,786429,56,69,8,5
18,shuffled_explicit,D1,262143,False,50331592,786429,786429,57389,200,786433,786429
18,learned_minimax_explicit,D1,262143,False,648,786429,786429,69,57,14,11
19,cantor_recursive,D3,524287,True,208,4,1572861,63,67,9,6
19,recursive_non_cantor,D3,524287,True,208,4,1572861,49,66,9,6
19,periodic_procedural,D2,524287,False,112,4,1572861,32,49,6,4
19,shuffled_seeded,D2,524287,False,184,1572861,1572861,56,68,8,5
19,center_anchored_seeded,D2,524287,False,184,1572861,1572861,56,69,8,5
19,shuffled_explicit,D1,524287,False,100663240,1572861,1572861,57389,200,1572865,1572861
19,learned_minimax_explicit,D1,524287,False,648,1572861,1572861,69,58,14,11
20,cantor_recursive,D3,1048575,True,208,4,3145725,63,66,9,6
20,recursive_non_cantor,D3,1048575,True,208,4,3145725,49,65,9,6
20,periodic_procedural,D2,1048575,False,112,4,3145725,32,49,6,4
20,shuffled_seeded,D2,1048575,False,184,3145725,3145725,56,66,8,5
20,center_anchored_seeded,D2,1048575,False,184,3145725,3145725,56,67,8,5
20,shuffled_explicit,D1,1048575,False,201326536,3145725,3145725,57390,199,3145729,3145725
20,learned_minimax_explicit,D1,1048575,False,648,3145725,3145725,69,59,14,11
