b,rho,alpha_field,alpha_sensitivity,gap_width_1,n_components_10,peak_k5,slope_k5,is_cantor
2,0.05,10.0,199.99999999999997,0.9,1023,16666.666666666664,11851851851.851847,False
2,0.06,8.333333333333332,138.88888888888886,0.88,1023,8220.22306397306,2883074868.116252,False
2,0.07,7.142857142857142,102.0408163265306,0.86,1023,4540.259388045677,879528759.9247746,False
2,0.08,6.249999999999999,78.12499999999997,0.84,1023,2724.783761160712,316776385.92363155,False
2,0.09,5.5555555555555545,61.728395061728385,0.82,1023,1742.5585778491522,129557776.9487215,False
2,0.1,5.0,49.99999999999999,0.8,1023,1171.8749999999998,58593749.99999997,False
2,0.11,4.545454545454545,41.322314049586765,0.78,1023,820.929633852248,28754153.119436197,False
2,0.12,4.166666666666666,34.72222222222221,0.76,1023,594.8845638401555,15099206.156599125,False
2,0.13,3.846153846153846,29.585798816568044,0.74,1023,443.57406669650635,8395005.97954887,False
2,0.14,3.571428571428571,25.51020408163265,0.72,1023,338.94297514924324,4901646.523862209,False
2,0.15,3.333333333333333,22.222222222222218,0.7,1023,264.5502645502644,2986105.278874235,False
2,0.16,3.1249999999999996,19.531249999999993,0.6799999999999999,1023,210.36933450137852,1888224.2943382564,False
2,0.17,2.9411764705882346,17.30103806228373,0.6599999999999999,1023,170.07154433669908,1234104.7549043114,False
2,0.18,2.7777777777777772,15.432098765432096,0.6399999999999999,1023,139.54082361682666,830790.0354415928,False
2,0.19,2.631578947368421,13.850415512465368,0.6199999999999999,1023,116.028635000771,574406.149979398,False
2,0.2,2.4999999999999996,12.499999999999995,0.5999999999999999,1023,97.65624999999996,406901.0416666663,False
2,0.21,2.380952380952381,11.337868480725621,0.58,1023,83.1124536764428,294727.6781277376,False
2,0.22,2.2727272727272725,10.330578512396691,0.5599999999999999,1023,71.46485651838766,217908.29726693276,False
2,0.23,2.1739130434782603,9.451795841209828,0.5399999999999999,1023,62.039197655494014,164218.11395146468,False
2,0.24,2.083333333333333,8.680555555555552,0.5199999999999999,1023,54.340416889244985,125989.5853950695,False
2,0.25,1.9999999999999996,7.9999999999999964,0.4999999999999999,1023,47.99999999999997,98303.99999999987,False
2,0.26,1.9230769230769227,7.396449704142008,0.47999999999999987,1023,42.74020955148627,77940.28853354487,False
2,0.27,1.8518518518518516,6.858710562414266,0.45999999999999996,1023,38.349383624162776,62748.809572403385,False
2,0.28,1.7857142857142856,6.377551020408163,0.43999999999999995,1023,34.664622458445336,51269.804807959576,False
2,0.29,1.7241379310344827,5.945303210463732,0.41999999999999993,1023,31.559491307455684,42496.06364097583,False
2,0.3,1.6666666666666665,5.5555555555555545,0.3999999999999999,1023,28.935185185185176,35722.45084590761,False
2,0.31,1.6129032258064513,5.202913631633713,0.3799999999999999,1023,26.714121965368346,30448.823994904553,False
2,0.32,1.5624999999999998,4.882812499999998,0.3599999999999999,1023,24.83526865641275,26316.39762074443,False
2,0.33,1.515151515151515,4.591368227731862,0.33999999999999986,1023,23.25073037054297,23065.449077917405,True
2,0.34,1.4705882352941173,4.325259515570933,0.31999999999999984,1023,21.923285012152622,20506.898164227234,False
2,0.35,1.4285714285714282,4.081632653061222,0.2999999999999998,1023,20.824656393169505,18503.09605945922,False
2,0.36,1.3888888888888886,3.858024691358024,0.2799999999999999,1023,19.93440337383238,16954.89868248149,False
2,0.37,1.351351351351351,3.6523009495982457,0.2599999999999999,1023,19.239378211206137,15793.223422030227,False
2,0.38,1.3157894736842104,3.462603878116342,0.23999999999999988,1023,18.733790026166155,14974.075253097923,False
