phase,b_raw,sigma_phase,beta_std,dP_2sigma,n_obs,leverage_vs_P0
P0 (pre-token-1),0.02639843175022571,0.6327973126851176,0.016704856670644315,0.008313620830077584,660,1.0
G1 (first decode),0.03537588898602343,0.561342617897206,0.019857994133855326,0.007622262120770107,660,1.188755732861334
GLOBAL (all forwards),0.6954872452264297,0.5463424829587905,0.3799742284231768,0.04256296745749577,800,22.746332753091558
