depth,policies,optimal_rho,maximum_attained,optimum_or_supremum,residual_radius,middle_third_margin,middle_third_radius,old_normalized_uncertainty_q50,old_normalized_uncertainty_q95,dimensional_illustration_q50_times_W_R,same_sensor_uncertainty_comparison_valid
1,2,,False,1.0,1.3727408729684236,0.33333333333333337,0.4575802909894746,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
2,4,0.25,True,0.125,0.17159260912105295,0.11111111111111112,0.15252676366315818,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
3,8,0.3333333333333333,True,0.03703703703703704,0.05084225455438607,0.03703703703703704,0.05084225455438607,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
4,16,0.375,True,0.01318359375,0.018097657993236052,0.012345679012345677,0.01694741818479535,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
5,32,0.4,True,0.0051199999999999996,0.007028433269598329,0.004115226337448559,0.0056491393949317835,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
6,64,0.4166666666666667,True,0.0020931123542524007,0.002873300880397433,0.001371742112482853,0.001883046464977261,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
7,128,0.42857142857142855,True,0.0008851996799195671,0.0012151497813641557,0.0004572473708276176,0.0006276821549924203,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
8,256,0.4375,True,0.0003834920935332775,0.0005264352712533597,0.00015241579027587253,0.00020922738499747342,0.02527649004876359,0.07218206065620632,0.034698071015117404,False
