pid,schedule,B2_target,B2_realised,B1_realised,q_max,refusal,safe,coherence
6d311db0bb71ca9f,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
e3d17f89d52a8b5c,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0,1.0
5a8076924a7614c3,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
d979221ed06165e6,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
3a60424da956ef88,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
afa869da7986df43,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
fe14f91d10bb83d1,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
4fe9051db1916f1e,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
dcfcb68c6728e87a,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
3ff9412833213e1d,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.02777777777777779,0.9722222222222222
7e4ea251aff25ea4,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
fc7b3e0819820866,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0076045627376425395,0.9923954372623575
edabd78b42374c59,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
ba816ce44776c2e5,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
cfc39308685bf848,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
6c6f359e34163bdc,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
56b951d94596e901,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
f804bb57c7579341,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
0aa73a125a2338f7,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
41b4ef876b293e68,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
37d32c8bb9a2da51,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
445693e8906ee75f,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
1412eed0e469b510,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
3a3e85b16958debe,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
15324d10a3de8e2c,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0,1.0
48348a2a2184c687,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
a385c7c4762f918c,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
59a7fd78ea808678,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.009049773755656076,0.9909502262443439
24a0fd12e0581713,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
f22f7af8d24a2295,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
7bcddcd9ce700d08,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
7cde3cdc0fd6b790,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
09c875e43731354c,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
1002a6f033de7859,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
b61a300745d50715,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.008196721311475419,0.9918032786885246
82e766aea5fcceea,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
33c2059767f11d72,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
4942cf68f90db14e,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
33eaf0c9914628a8,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
69ac9961c1186b45,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
8e6f228a0e9ba076,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
4d0635c70d5dd5aa,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
378543af9ed770f3,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
fc4aa58827f1e0af,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
db68ea334e5808ee,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
d6c9599e86086b54,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
c20555ddab8c6d5d,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
e37c88bf33e716a0,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.375,1.0
f6f250c1bf73414f,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
5bea7f1a07a95de8,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
7361399cdb324c4b,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
fbc6bdbb171b9b68,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
4d8cb4a986edad0e,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
12d93786bfcc0b05,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
6372ea03f1694a42,S1_P0_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
2aab10bbefceb899,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
05e139e14f80808d,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
39f86de60234e23f,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
9e6ac075a390c890,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
f8f143222dfbc080,S1_P0_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
6d311db0bb71ca9f,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
e3d17f89d52a8b5c,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0,1.0
5a8076924a7614c3,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
d979221ed06165e6,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
3a60424da956ef88,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
afa869da7986df43,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
fe14f91d10bb83d1,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
4fe9051db1916f1e,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
dcfcb68c6728e87a,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
3ff9412833213e1d,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.02631578947368418,0.9736842105263158
7e4ea251aff25ea4,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
fc7b3e0819820866,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0076045627376425395,0.9923954372623575
edabd78b42374c59,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
ba816ce44776c2e5,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
cfc39308685bf848,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
6c6f359e34163bdc,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
56b951d94596e901,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
f804bb57c7579341,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
0aa73a125a2338f7,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
41b4ef876b293e68,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0,1.0
37d32c8bb9a2da51,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
445693e8906ee75f,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
1412eed0e469b510,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
3a3e85b16958debe,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
15324d10a3de8e2c,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
48348a2a2184c687,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
a385c7c4762f918c,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0,1.0
59a7fd78ea808678,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
24a0fd12e0581713,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
f22f7af8d24a2295,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.02564102564102566,0.9743589743589743
7bcddcd9ce700d08,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
7cde3cdc0fd6b790,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
09c875e43731354c,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
1002a6f033de7859,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
b61a300745d50715,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.008000000000000007,0.992
82e766aea5fcceea,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
33c2059767f11d72,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
4942cf68f90db14e,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
33eaf0c9914628a8,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
69ac9961c1186b45,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
8e6f228a0e9ba076,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
4d0635c70d5dd5aa,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
378543af9ed770f3,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
fc4aa58827f1e0af,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
db68ea334e5808ee,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
d6c9599e86086b54,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
c20555ddab8c6d5d,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
e37c88bf33e716a0,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.375,1.0
f6f250c1bf73414f,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,1,1.0,1.0
5bea7f1a07a95de8,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0,1.0
7361399cdb324c4b,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
fbc6bdbb171b9b68,S2_G1_ONLY,0.1,0.10000000894069672,0.10000000894069672,0.10000000894069672,0,0.0,1.0
4d8cb4a986edad0e,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
12d93786bfcc0b05,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
6372ea03f1694a42,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
2aab10bbefceb899,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
05e139e14f80808d,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
39f86de60234e23f,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0.0,1.0
9e6ac075a390c890,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
f8f143222dfbc080,S2_G1_ONLY,0.1,0.10000000149011612,0.10000000149011612,0.10000000149011612,1,1.0,1.0
6d311db0bb71ca9f,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
e3d17f89d52a8b5c,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,0,0.0,1.0
5a8076924a7614c3,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
d979221ed06165e6,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
3a60424da956ef88,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
afa869da7986df43,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
fe14f91d10bb83d1,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
4fe9051db1916f1e,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
dcfcb68c6728e87a,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,1,1.0,1.0
3ff9412833213e1d,S3_EARLY_2,0.1,0.10000000149011612,0.1414213627576828,0.0707106813788414,0,0.02777777777777779,0.9722222222222222
