family,harm_coh_refusal,benign_coh_false_refusal,coherence_harm,intervention_rel_actnorm
L0_none,0.15714285714285714,0.2714285714285714,0.9929346857249541,0.0
L1_constant,0.5571428571428572,1.0,0.9027300329531761,0.7458048477315102
L2_central,0.12857142857142856,0.18571428571428572,0.8414678905849743,0.11962094219434716
L3_periodic,0.45714285714285713,0.5,0.9868277252722988,0.16551267404024952
L5_shuffled,0.08571428571428572,0.21428571428571427,0.848835269244273,0.31252683807377757
L6_center_anchored,0.04285714285714286,0.1,0.763898993486572,0.599594538949157
L7_cantor,0.4857142857142857,0.6428571428571429,0.8638113035449738,0.7430244026104684
