rho,centre,false_refusal,coherence,mean_words
0.28,tau_beh,0.5,0.9991289474326025,33.96
0.3,tau_beh,0.5,0.9991289474326025,33.84
0.3333333333333333,tau_beh,0.5,0.9986289474326024,33.84
0.36,tau_beh,0.5,0.9984594559071787,33.86
0.4,tau_beh,0.5,0.9984594559071787,33.42
0.3333333333333333,tau_mid,0.5,0.9985899871701909,33.96
