centre,rho,is_cantor,frac_in_leaf,median_r,median_slope,median_switch_eps,frac_switched,eps_cert,action_spread
tau_mid,0.25,False,0.0,0.39972978830337524,0.18017688393592834,,,0.16532743596344926,0.0
tau_mid,0.28,False,0.02,0.39972978830337524,0.18017688393592834,0.35000000000000003,1.0,0.18250032739184466,0.14285714285714285
tau_mid,0.3,False,0.04,0.39972978830337524,0.18017688393592834,0.42500000000000004,1.0,0.19045720622989354,0.14285714285714285
tau_mid,0.3333333333333333,True,0.1,0.39972978830337524,0.18017688393592834,0.30000000000000004,1.0,0.19594362780853247,0.14285714285714285
tau_mid,0.36,False,0.16,0.39972978830337524,0.18017688393592834,0.45,1.0,0.1919808638797327,0.4285714285714286
tau_mid,0.4,False,0.54,0.39972978830337524,0.18017688393592834,0.4,1.0,0.16929529442657204,0.4285714285714286
tau_mid,0.44,False,0.66,0.39972978830337524,0.18017688393592834,0.35000000000000003,1.0,0.1229083837536913,0.4285714285714286
tau_beh,0.25,False,0.16,0.041495367884635925,0.030071726068854332,1.6750000000000003,1.0,0.16532743596344926,0.14285714285714285
tau_beh,0.28,False,0.12,0.041495367884635925,0.030071726068854332,1.475,1.0,0.18250032739184466,0.14285714285714285
tau_beh,0.3,False,0.18,0.041495367884635925,0.030071726068854332,1.4000000000000001,1.0,0.19045720622989354,0.2857142857142857
tau_beh,0.3333333333333333,True,0.46,0.041495367884635925,0.030071726068854332,1.1500000000000001,1.0,0.19594362780853247,0.2857142857142857
tau_beh,0.36,False,0.72,0.041495367884635925,0.030071726068854332,1.125,1.0,0.1919808638797327,0.14285714285714285
tau_beh,0.4,False,0.86,0.041495367884635925,0.030071726068854332,1.25,1.0,0.16929529442657204,0.14285714285714285
tau_beh,0.44,False,0.92,0.041495367884635925,0.030071726068854332,1.4000000000000001,1.0,0.1229083837536913,0.14285714285714285
