rho,centre,eps,pid,safe,eta,C_mean,C_rms,C95,C_max,m_mean,m_std,m_min
0.28,tau_beh,0.0,c630343f813bd8ee,0.007692307692307665,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,3c44ff264dc930c5,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,e5ee8a3a0749123d,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,8a241a66612e1e7f,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,b390ed0f4b090cf5,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,605a949685f9a050,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,24baa1ba8cb6807f,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,d8de85cf46500546,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,1df6546d5075aa63,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,334e6f04ecde350d,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
