uncertainty,n,quantile,delta,feasible,rho_left,rho_right,cantor_feasible
U_EST_mid,2,q50,0.02527649004876359,True,0.02670254149314953,0.47329745850685034,True
U_EST_mid,2,q75,0.043069744769317866,True,0.04760156222109439,0.45239843777890554,True
U_EST_mid,2,q90,0.06084685968918978,True,0.07090066958415137,0.4290993304158486,True
U_EST_mid,2,q95,0.07218206065620632,True,0.08749163199423707,0.41250836800576296,True
U_EST_mid,3,q50,0.02527649004876359,True,0.20806594675661538,0.43240708673787026,True
U_EST_mid,3,q75,0.043069744769317866,False,,,False
U_EST_mid,3,q90,0.06084685968918978,False,,,False
U_EST_mid,3,q95,0.07218206065620632,False,,,False
U_EST_mid,5,q50,0.02527649004876359,False,,,False
U_EST_mid,5,q75,0.043069744769317866,False,,,False
U_EST_mid,5,q90,0.06084685968918978,False,,,False
U_EST_mid,5,q95,0.07218206065620632,False,,,False
U_EST_beh,2,q50,0.041419376136561326,True,0.04557321131583726,0.45442678868416253,True
U_EST_beh,2,q75,0.07059375742847854,True,0.08506631245933896,0.41493368754066096,True
U_EST_beh,2,q90,0.099844565848714,True,0.13784957835281075,0.36215042164718925,True
U_EST_beh,2,q95,0.11796309938886952,True,0.19068347358817123,0.30931652641182883,False
U_EST_beh,3,q50,0.041419376136561326,False,,,False
U_EST_beh,3,q75,0.07059375742847854,False,,,False
U_EST_beh,3,q90,0.099844565848714,False,,,False
U_EST_beh,3,q95,0.11796309938886952,False,,,False
U_EST_beh,5,q50,0.041419376136561326,False,,,False
U_EST_beh,5,q75,0.07059375742847854,False,,,False
U_EST_beh,5,q90,0.099844565848714,False,,,False
U_EST_beh,5,q95,0.11796309938886952,False,,,False
