rho,pid,auc
0.25,018ccdd70b67d50b,0.20488867555292986
0.25,0545ede9161cd87b,0.35
0.25,0822110b214bf434,0.1548732556966302
0.25,0dbb1e13fa00f0f6,0.1
0.25,0e2ca3a9a1e8e218,0.1
0.25,101df2256aecf75b,0.1
0.25,1717ce53958590ba,0.10949772064950458
0.25,1868815d0a7c6716,0.3546888891743051
0.25,1991ac094bc47b5a,0.004786444422586555
0.25,1e9be34e7c154aee,0.1
0.25,245b8a2be8abc37e,0.20495146530968816
0.25,2982eb379acc1dcf,0.002754311026736265
0.25,2a7630b9ddded8d5,0.2
0.25,3159f31edc896059,0.0026715239829993897
0.25,3605a51c50d5daa0,0.0007352941176470499
0.25,38e3fe88a50cb3ef,0.0
0.25,3a831f177b4c7882,0.001136363636363625
0.25,41450c0e975a1c31,0.10320813150162786
0.25,4381c0fb4c396040,0.0
0.25,44e03bc01ee3055a,0.35
0.25,47bf27669a8fa08a,0.01039417933599501
0.25,486ee1ca9e71adc6,0.0
0.25,4910c9193fca9a21,0.0012658227848101199
0.25,4a78cd4f429333ac,0.006444978014897415
0.25,4d3a619d3d16b595,0.3513636363636364
0.25,4e12766ab5ee9a6f,0.2512711864406779
0.25,5406f38bad958fff,0.1
0.25,5b6660299c28d21a,0.1048614728865735
0.25,5d8a6dda9c034943,0.0
0.25,6354b26bfd6b0d3b,0.00360518310068964
0.25,663b72de42e74e86,0.001339285714285695
0.25,66eb648c6256c151,0.0019685039370078506
0.25,67f63c1627c03412,0.3558496498250262
0.25,6d1d8e613ece86e7,0.003938301576791985
0.25,6f3466b968e73ba3,0.35596834233154234
0.25,71fe74132803f26b,0.0
0.25,76825b753db42030,0.20132743362831856
0.25,78001bdfb89f1ad1,0.2
0.25,7b925779bf22fd74,0.005776606527171151
0.25,7be724e7d2299999,0.00663073040240086
0.25,82da82d3e55219a5,0.017808259283443074
0.25,8acfa77cf5234bd4,0.006919596942204525
0.25,9332a9cf5d92314a,0.0042576337654410355
0.25,9f60113cec74b0ee,0.0027894542152873346
0.25,a2f68f9c135648a0,0.1
0.25,a3ecb75bd15d05d8,0.10416666666666666
0.25,a4a471e79162ce6a,0.0013574660633484
0.25,aa0070de67183c08,0.00199203187250995
0.25,aa6bc6d9ff6d7768,0.2
0.25,acd5a3fd547677f6,0.0035833333333333247
0.25,b5124e1b88000bd7,0.00129870129870129
0.25,b62f26029c55da5d,0.10405405405405403
0.25,b7036711cecf282e,0.20365724680599034
0.25,bc83dba623c24f83,0.0030065359477123898
0.25,bd981ed06e640944,0.005665856260012245
0.25,c0b0a6fd8196e526,0.35
0.25,c0da6f9a810ac96e,0.0
0.25,c4e140c6b10a0649,0.004596778593799415
0.25,ceab4fde9bc557e9,0.0038461538461538394
0.25,cfd0baecd1304030,0.35
0.25,d437bb99475d3d83,0.00344827586206896
0.25,df593c445aa37cdd,0.004533146591970081
0.25,e0cbaf79c0d6e3eb,0.10409681227863044
0.25,e3664a91fc92d1d6,0.0043452494096874305
0.25,e55575bab6cd051d,0.00121457489878542
0.25,eac6ec2b274f3fe8,0.01187830623841037
0.25,eb5cda6e1fe9f6b5,0.21124642529292598
0.25,ecbc64034f374904,0.501219512195122
0.25,f16d6af3f8b8b330,0.20376679352560867
0.25,f2e24c35c5249c8b,0.00394268139864763
0.3,018ccdd70b67d50b,0.20485204551629982
0.3,0545ede9161cd87b,0.35
0.3,0822110b214bf434,0.1423867972692582
0.3,0dbb1e13fa00f0f6,0.1
0.3,0e2ca3a9a1e8e218,0.1
0.3,101df2256aecf75b,0.1
0.3,1717ce53958590ba,0.10956445509415802
0.3,1868815d0a7c6716,0.10385733784345139
0.3,1991ac094bc47b5a,0.004786444422586555
0.3,1e9be34e7c154aee,0.1
0.3,245b8a2be8abc37e,0.20494370253993194
0.3,2982eb379acc1dcf,0.0008230452674897
0.3,2a7630b9ddded8d5,0.45
0.3,3159f31edc896059,0.00081967213114754
0.3,3605a51c50d5daa0,0.0007352941176470499
0.3,38e3fe88a50cb3ef,0.0
0.3,3a831f177b4c7882,0.00115384615384614
0.3,41450c0e975a1c31,0.10479754071836907
0.3,4381c0fb4c396040,0.2512145748987854
0.3,44e03bc01ee3055a,0.35
0.3,47bf27669a8fa08a,0.010387198537960909
0.3,486ee1ca9e71adc6,0.0
