pid,z_clean,inside_window
914601d866a7ddd2,5.319970697576044,1
f9876e9dbf36cf1e,5.092659396401908,1
08c7822c6f6de3f6,5.539790114475042,1
d44de672ac55091c,4.522188312061422,1
208862489abeaf39,5.866532583911464,1
f5b6959624e37c57,5.855845299228988,1
10337b4a36d0e057,4.887419058257048,1
5ea07889dbb12bc9,4.535205571735909,1
059543edf53bb8d8,5.403139804593085,1
2d7093a3f8c9ecb8,5.489461781280309,1
38befe103fee1de1,5.2996382092158445,1
a70e27a5c6555ab2,4.566162321182583,1
2de4d41bf2a7361d,5.264658964865772,1
60efcbe98fa8fa13,5.16563507641167,1
0addc3e24f58cdb0,4.646473361385521,1
d0d50a43d1d2ea12,4.835969152111033,1
9272a9142e2329c9,4.252606720096754,1
b9101c779cfaa1d8,4.947348441214649,1
ca4abe0136c4d87f,6.4754164924019335,0
d4bc82b26c30288b,4.513346193950419,1
6cf16e4254517dbd,4.803668740755989,1
3268091286ea4607,4.26294806412537,1
6a7161345b67f2f2,5.368734433373247,1
fbb7d3c41931bea4,5.307748035049318,1
f19fc342a588f00c,5.8447076866692536,1
296cb4b9ca9d1c93,5.353738955925117,1
da4796fab6260d4c,5.309593413980339,1
654c112f57716e89,5.144928543002064,1
9a355fb316765d78,5.804688451529908,1
a43fb59c4ccd85a4,5.457603206165947,1
035624cd763acad4,4.261167580881439,1
8094bf444b636411,5.315323735080552,1
cbee4c6d91570eda,5.373466154003171,1
a209fc05b560cc58,3.067498836212551,1
60db024b1b63eb4b,5.040984331230961,1
d5f5847085345086,4.712174127573506,1
6fdefd1a7e79ff19,5.614939216885784,1
c4c9fd3168dc6911,5.064981492498765,1
fb127ea044c2310e,4.9827644605479495,1
c8d0ccbbc8349cf6,5.288953017486025,1
