q,refusal,coherence
0.05,0.625,0.9992268190495256
0.1,0.6,0.9983340252835659
0.2,0.475,0.9984225534120214
0.4,0.4,0.9983850377716612
0.8,0.125,0.9986295036110203
1.6,0.375,0.9981621128804369
