model,kind,h0,R_safe_rk4,R_safe_adaptive,abs_diff,adaptive_ok
neural_random_n3_s2,sinusoid,0.2,0.991375,NaN,NaN,false
neural_random_n3_s2,sinusoid,0.72,0.9961249999999999,NaN,NaN,false
neural_random_n3_s2,sinusoid,0.2,0.994125,0.994125,0.0,true
neural_random_n3_s2,sinusoid,0.72,0.993125,0.993125,0.0,true
neural_random_n3_s2,sinusoid,0.2,0.994375,NaN,NaN,false
neural_random_n3_s2,sinusoid,0.72,0.984625,NaN,NaN,false
neural_random_n3_s2,square,0.2,0.9886250000000001,NaN,NaN,false
neural_random_n3_s2,square,0.72,0.9963750000000001,NaN,NaN,false
neural_random_n3_s2,chirp,0.2,0.993625,0.993625,0.0,true
neural_random_n3_s2,chirp,0.72,0.9958750000000001,NaN,NaN,false
neural_random_n3_s2,multifreq,0.2,0.993375,0.993375,0.0,true
neural_random_n3_s2,multifreq,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s2,impulse,0.2,0.993625,0.993625,0.0,true
neural_random_n3_s2,impulse,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s2,ou_noise,0.2,0.993625,0.993625,0.0,true
neural_random_n3_s2,ou_noise,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s2,pw_random,0.2,0.993625,0.993625,0.0,true
neural_random_n3_s2,pw_random,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s2,amp_extrap,0.2,0.977875,NaN,NaN,false
neural_random_n3_s2,amp_extrap,0.72,0.9963750000000001,NaN,NaN,false
neural_random_n3_s2,freq_extrap,0.2,0.991625,0.991625,0.0,true
neural_random_n3_s2,freq_extrap,0.72,0.9963750000000001,0.9963750000000001,0.0,true
neural_random_n3_s3,sinusoid,0.2,0.991625,0.991375,0.00024999999999997247,true
neural_random_n3_s3,sinusoid,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s3,sinusoid,0.2,0.9803750000000001,0.9803750000000001,0.0,true
neural_random_n3_s3,sinusoid,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s3,sinusoid,0.2,0.9948750000000001,0.9948750000000001,0.0,true
neural_random_n3_s3,sinusoid,0.72,0.992375,0.9918750000000001,0.0004999999999999449,true
neural_random_n3_s3,sinusoid,0.2,0.9956250000000001,0.9956250000000001,0.0,true
neural_random_n3_s3,sinusoid,0.72,0.990875,0.990875,0.0,true
neural_random_n3_s3,square,0.2,0.9786250000000001,0.9786250000000001,0.0,true
neural_random_n3_s3,square,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s3,chirp,0.2,0.993625,0.993625,0.0,true
neural_random_n3_s3,chirp,0.72,0.9956250000000001,0.9956250000000001,0.0,true
neural_random_n3_s3,multifreq,0.2,0.982625,0.982625,0.0,true
neural_random_n3_s3,multifreq,0.72,0.9956250000000001,0.9958750000000001,0.00024999999999997247,true
neural_random_n3_s3,impulse,0.2,0.993625,0.993625,0.0,true
neural_random_n3_s3,impulse,0.72,0.9956250000000001,0.9956250000000001,0.0,true
neural_random_n3_s3,ou_noise,0.2,0.993625,0.993625,0.0,true
neural_random_n3_s3,ou_noise,0.72,0.9956250000000001,0.9956250000000001,0.0,true
neural_random_n3_s3,pw_random,0.2,0.993375,0.993375,0.0,true
neural_random_n3_s3,pw_random,0.72,0.9956250000000001,0.9956250000000001,0.0,true
neural_random_n3_s3,amp_extrap,0.2,0.9786250000000001,0.9786250000000001,0.0,true
neural_random_n3_s3,amp_extrap,0.72,0.9958750000000001,0.9958750000000001,0.0,true
neural_random_n3_s3,freq_extrap,0.2,0.992625,0.992625,0.0,true
neural_random_n3_s3,freq_extrap,0.72,0.991625,0.991375,0.00024999999999997247,true
neural_smooth_b10,sinusoid,0.2,0.9966250000000001,0.9966250000000001,0.0,true
neural_smooth_b10,sinusoid,0.72,0.998875,0.998875,0.0,true
neural_smooth_b10,sinusoid,0.2,0.9963750000000001,0.9963750000000001,0.0,true
neural_smooth_b10,sinusoid,0.72,0.998875,0.998875,0.0,true
neural_smooth_b10,sinusoid,0.2,0.997625,0.997625,0.0,true
neural_smooth_b10,sinusoid,0.72,0.997875,0.997875,0.0,true
neural_smooth_b10,sinusoid,0.2,0.9953749999999999,0.9953749999999999,0.0,true
neural_smooth_b10,sinusoid,0.72,0.9938750000000001,0.9938750000000001,0.0,true
neural_smooth_b10,square,0.2,0.9958750000000001,0.9958750000000001,0.0,true
neural_smooth_b10,square,0.72,0.998875,0.998875,0.0,true
neural_smooth_b10,chirp,0.2,0.9971249999999999,0.9971249999999999,0.0,true
neural_smooth_b10,chirp,0.72,0.998375,0.998375,0.0,true
neural_smooth_b10,multifreq,0.2,0.9971249999999999,0.9971249999999999,0.0,true
neural_smooth_b10,multifreq,0.72,0.998625,0.998625,0.0,true
neural_smooth_b10,impulse,0.2,0.9971249999999999,0.9971249999999999,0.0,true
neural_smooth_b10,impulse,0.72,0.998375,0.998375,0.0,true
