model,family,layout_seed,eta,false_refusal,coherence,mean_words,C_mean,C_rms,C95,C_max,m_min,m_mean,m_std,m_q05,m_q95
olmo2-1b-instruct,T0_none,0,0.0,0.0,0.9933360625433796,38.666666666666664,0.0,0.0,0.0,0.0,-2.3993202447891235,-1.3979026873906453,0.2625598609447479,-1.8197107712427776,-0.9882560074329376
olmo2-1b-instruct,T1_true_constant,0,0.33090727920223384,0.0,0.9933938126011297,38.75,0.020078396008823732,0.021541338933161264,0.04353234160817195,0.05000000214672395,-2.4293562968571982,-1.4034743110338848,0.25785278528928757,-1.8204896450042725,-1.03229621052742
olmo2-1b-instruct,T4_periodic,0,0.16058192604708507,0.0,0.9933587985955276,38.875,0.013873239318347094,0.01810647060760037,0.03352893287610547,0.05000000214672395,-2.429609020551046,-1.3975067138671875,0.26209333042303723,-1.8170402646064758,-0.9957290788491567
olmo2-1b-instruct,T5_shuffled,1,0.2108801337284346,0.0,0.9933587985955276,38.875,0.006067030702575397,0.009131117073844902,0.01483931872453753,0.050000001876062135,-2.430912812550863,-1.4018974502881367,0.26084112872680026,-1.8197107712427776,-1.0095063050587971
olmo2-1b-instruct,T5_shuffled,2,0.20165966428095522,0.0,0.9933010485377775,38.666666666666664,0.014731358385400376,0.022163533203642515,0.04863848708761839,0.05000000236657801,-2.427613854408264,-1.4002294143040974,0.2619523952404658,-1.8234491348266602,-1.0068318744500477
olmo2-1b-instruct,T6_center_anchored,1,0.25713806522458016,0.0,0.9933587985955276,38.791666666666664,0.020381891273259328,0.02706963569679352,0.05000000147004557,0.05000000286235434,-2.426481326421102,-1.3994356195131938,0.2611667811870575,-1.8169959783554077,-1.0057221750418346
olmo2-1b-instruct,T6_center_anchored,2,0.25314584759945513,0.0,0.9933010485377775,38.791666666666664,0.016055374001645032,0.022480556356634433,0.04997450533314642,0.05000000267191481,-2.427613854408264,-1.3996792634328206,0.2596588929494222,-1.8158718943595886,-1.0059661467870076
olmo2-1b-instruct,T0_none,0,0.0,0.0,0.9933360625433796,38.666666666666664,0.0,0.0,0.0,0.0,-2.3993202447891235,-1.3979026873906453,0.2625598609447479,-1.8197107712427776,-0.9882560074329376
olmo2-1b-instruct,T1_true_constant,0,0.33090727920223384,0.0,0.9933938126011297,38.75,0.020078396008823732,0.021541338933161264,0.04353234160817195,0.05000000214672395,-2.4293562968571982,-1.4034743110338848,0.25785278528928757,-1.8204896450042725,-1.03229621052742
olmo2-1b-instruct,T4_periodic,0,0.16058192604708507,0.0,0.9933587985955276,38.875,0.013873239318347094,0.01810647060760037,0.03352893287610547,0.05000000214672395,-2.429609020551046,-1.3975067138671875,0.26209333042303723,-1.8170402646064758,-0.9957290788491567
olmo2-1b-instruct,T5_shuffled,1,0.2108801337284346,0.0,0.9933587985955276,38.875,0.006067030702575397,0.009131117073844902,0.01483931872453753,0.050000001876062135,-2.430912812550863,-1.4018974502881367,0.26084112872680026,-1.8197107712427776,-1.0095063050587971
olmo2-1b-instruct,T5_shuffled,2,0.20165966428095522,0.0,0.9933010485377775,38.666666666666664,0.014731358385400376,0.022163533203642515,0.04863848708761839,0.05000000236657801,-2.427613854408264,-1.4002294143040974,0.2619523952404658,-1.8234491348266602,-1.0068318744500477
olmo2-1b-instruct,T6_center_anchored,1,0.25713806522458016,0.0,0.9933587985955276,38.791666666666664,0.020381891273259328,0.02706963569679352,0.05000000147004557,0.05000000286235434,-2.426481326421102,-1.3994356195131938,0.2611667811870575,-1.8169959783554077,-1.0057221750418346
olmo2-1b-instruct,T6_center_anchored,2,0.25314584759945513,0.0,0.9933010485377775,38.791666666666664,0.016055374001645032,0.022480556356634433,0.04997450533314642,0.05000000267191481,-2.427613854408264,-1.3996792634328206,0.2596588929494222,-1.8158718943595886,-1.0059661467870076
olmo2-1b-instruct,T7_cantor,0,0.23508932069041513,0.0,0.9933010485377775,38.541666666666664,0.014839481753492043,0.020450085775696444,0.04315370060191178,0.050000002689945026,-2.427613854408264,-1.3979089856147766,0.26712048053741455,-1.8208699623743694,-0.9808608194192251
