pid,rho,depth,is_cantor,regression,abstention,guard_width,guard_covers_delta
edf1c65a27d8596e,0.36,2,False,0.0,1.0,0.1008,True
f0f8df03bbe5e63a,0.36,2,False,0.0,1.0,0.1008,True
f3154aca0f41e4de,0.36,2,False,0.0,1.0,0.1008,True
f4e2834f7bbc3f6e,0.36,2,False,0.0,1.0,0.1008,True
f7d9ded34c4884e0,0.36,2,False,0.0,0.46875,0.1008,True
f8e403137f14303f,0.36,2,False,0.0,1.0,0.1008,True
026a23af85772b02,0.4,2,False,0.0,0.0,0.07999999999999999,True
057ab6564f48b1b2,0.4,2,False,0.0,0.5,0.07999999999999999,True
096cb45a456f6f78,0.4,2,False,0.0,1.0,0.07999999999999999,True
09f7c3f44ef1d3bb,0.4,2,False,0.0,0.5,0.07999999999999999,True
0ce56571dce9f025,0.4,2,False,0.0,1.0,0.07999999999999999,True
1070deb51a4272a1,0.4,2,False,0.0,1.0,0.07999999999999999,True
1332de0a8d59573a,0.4,2,False,0.0,0.5,0.07999999999999999,True
186b7c1f03e07257,0.4,2,False,0.0,1.0,0.07999999999999999,True
25ace97c646e9df0,0.4,2,False,0.0,0.0,0.07999999999999999,True
263c35317080a522,0.4,2,False,0.0,0.0,0.07999999999999999,True
29230e9aa3720173,0.4,2,False,0.0,0.0,0.07999999999999999,True
2b13bc8134a190e4,0.4,2,False,0.0,0.71875,0.07999999999999999,True
2c176756c37c254f,0.4,2,False,0.0,0.5,0.07999999999999999,True
3032ca7bae0fb689,0.4,2,False,0.0,1.0,0.07999999999999999,True
32d32b9cc95632e2,0.4,2,False,0.0,1.0,0.07999999999999999,True
32f65eb7f822a81f,0.4,2,False,0.0,0.4375,0.07999999999999999,True
330ab97ccd94b9c3,0.4,2,False,0.0,1.0,0.07999999999999999,True
39e75f5a4127caac,0.4,2,False,0.0,0.484375,0.07999999999999999,True
3f320b7d4f3c7e97,0.4,2,False,0.0,1.0,0.07999999999999999,True
