pid,d_clean,x_risk,inside_calibrated_window
fdc50b816ec48888,2.3198478621909873,0.0,True
c214b7e0c400875a,-0.4109551364398973,0.4109551364398973,False
a5291022bdb157ce,2.5007003654356086,0.0,True
f748e6d72cc6df13,0.705873790950931,0.0,True
5635bbd76ae22ae7,2.86035471000741,0.0,True
2d886c41b072148f,1.0911075313007068,0.0,True
ca7b70c798a560dc,1.2958511073449792,0.0,True
f2610d5df0a732a1,-0.21053623822469134,0.21053623822469134,True
383174dead06f824,1.7291562864665133,0.0,True
21e76b5ba0d7110a,-0.7559935183491494,0.7559935183491494,False
73b1227cbdfef3cd,1.3962610007926302,0.0,True
6ce2dfb4e77873eb,2.9718351663414246,0.0,True
4674bf034e29b23c,0.8506195783517033,0.0,True
d2052bfa6b4b640c,1.1129553591563635,0.0,True
b2b34c5b6b3d5cff,2.299231350690869,0.0,True
15031acbac048b82,-0.762675693937203,0.762675693937203,False
66d37f24f151cbc8,1.6381716092683944,0.0,True
a1e77991fdbe4b4c,3.6447637352390037,0.0,True
4978b227682066eb,0.6792135069726367,0.0,True
f886baeb941a52ed,0.9723465564191236,0.0,True
61ce72afc29b5b07,1.5923569017880725,0.0,True
4a1808ad3622c5f2,-0.07724333474200334,0.07724333474200334,True
1929039aaf3d35e6,1.9254154061870936,0.0,True
c9c610b58d7117e7,1.2591953133193583,0.0,True
2a7fde8098065e50,2.8526896433848985,0.0,True
fab92ec48a8f09b1,1.567161698981429,0.0,True
79b5ebba94ced6d0,0.8015646902428605,0.0,True
065ae581c47df594,-0.4334270116937083,0.4334270116937083,False
3749c4cdce5eec06,2.7507273287865663,0.0,True
9752f6cc749c45b2,2.490294620577919,0.0,True
67e2e9d4ecfbadba,0.9193248768296454,0.0,True
b8bd5c6a18c34b44,1.5219047755373536,0.0,True
e66dab2158c5ec59,0.5875514362279807,0.0,True
6626dc607f41e50d,2.1864948264682615,0.0,True
300f99087075c6c7,2.0401410477041324,0.0,True
7d63fb9eeabf7c68,-0.4643406765926047,0.4643406765926047,False
206017aabf8266f0,3.014400137716351,0.0,True
42a8e4029fc4c812,-0.11977721965945883,0.11977721965945883,True
7c00f684418ff0ff,1.2335305633704492,0.0,True
b9aad34f547e3190,0.10225312682364188,0.0,True
ca139c42ab2f3fcd,0.5954626796286717,0.0,True
35ac4a7f7fee9505,0.7221650069002883,0.0,True
6f45400e18643637,2.3467891676424473,0.0,True
23c2e0e5ac97d416,0.9598921302709935,0.0,True
39d42f1793191a94,1.7059408574968118,0.0,True
f6f93f4ccd2bfc32,1.3680521295741026,0.0,True
cc7a7b609f2ab7cf,1.7385644814854069,0.0,True
2d07ee5acaa613a5,1.565905469719095,0.0,True
ab4c398531e7ee6a,0.9384063830538384,0.0,True
0b02582a9f96b902,1.4824186762817606,0.0,True
a51490c3fbaaca88,0.6013132980088098,0.0,True
0ffcbd78ce44d3ef,2.1203631022790663,0.0,True
f5e629368d2f2c5a,2.430512237687507,0.0,True
83e3260f43fede13,1.9245372492278212,0.0,True
