pid,family,epsilon,h_attacked_norm,d_clean,d_attacked,x_clean,x_attacked,delta_d,delta_x,delta_r_R
4ec67996d5ecf126,ATTACK_W,0.0,18.589122151911884,-0.500348572619408,-0.500348572619408,0.500348572619408,0.500348572619408,0.0,0.0,0.0
da6deb9f3496d94e,ATTACK_W,0.0,18.232426231863492,2.466745043400412,2.466745043400412,0.0,0.0,0.0,0.0,0.0
6548fd758c45b326,ATTACK_W,0.0,17.878870031019876,0.16236508062329083,0.16236508062329083,0.0,0.0,0.0,0.0,0.0
206476cfcaf036c5,ATTACK_W,0.0,18.350454550138718,2.0628822099949047,2.0628822099949047,0.0,0.0,0.0,0.0,0.0
7b696422a2a619b2,ATTACK_W,0.0,18.655748027974738,1.6379543298111845,1.6379543298111845,0.0,0.0,0.0,0.0,0.0
6da730aef14ffbe0,ATTACK_W,0.0,18.119238471759115,0.8997920643302713,0.8997920643302713,0.0,0.0,0.0,0.0,0.0
7bb4e879ff4c5108,ATTACK_W,0.0,18.41928362362765,0.5092484555924736,0.5092484555924736,0.0,0.0,0.0,0.0,0.0
62ff171c16bea55c,ATTACK_W,0.0,18.488540073488224,1.5254914102065396,1.5254914102065396,0.0,0.0,0.0,0.0,0.0
0bcaae33dad19323,ATTACK_W,0.0,18.228748656153392,1.5194043901878587,1.5194043901878587,0.0,0.0,0.0,0.0,0.0
6bfd33575c7e4e7c,ATTACK_W,0.0,18.07406261734933,-0.5720299876524213,-0.5720299876524213,0.5720299876524213,0.5720299876524213,0.0,0.0,0.0
2d4ddbb9db669afa,ATTACK_W,0.0,18.11707028945423,1.036456366449678,1.036456366449678,0.0,0.0,0.0,0.0,0.0
2b9db89503851056,ATTACK_W,0.0,17.97795624657352,-0.05665174577923019,-0.05665174577923019,0.05665174577923019,0.05665174577923019,0.0,0.0,0.0
b4e5323bfd81025b,ATTACK_W,0.0,18.058874913685113,0.7902497219056746,0.7902497219056746,0.0,0.0,0.0,0.0,0.0
b797f5d66dbc151c,ATTACK_W,0.0,18.42171783525928,2.192610981855724,2.192610981855724,0.0,0.0,0.0,0.0,0.0
6b031d06a0deeba2,ATTACK_W,0.0,18.625924096985386,1.873006791270468,1.873006791270468,0.0,0.0,0.0,0.0,0.0
0dd9ba54c4778f09,ATTACK_W,0.0,18.170757613207485,1.05414577424041,1.05414577424041,0.0,0.0,0.0,0.0,0.0
a88505d7d906efef,ATTACK_W,0.0,18.41122205484541,1.940667772658133,1.940667772658133,0.0,0.0,0.0,0.0,0.0
5d798a6e88a7558d,ATTACK_W,0.0,18.125370199783134,0.1656273196555612,0.1656273196555612,0.0,0.0,0.0,0.0,0.0
3efb01b5c999c2a2,ATTACK_W,0.0,18.062196319140497,1.6103598636509828,1.6103598636509828,0.0,0.0,0.0,0.0,0.0
76c73c6a40310b2e,ATTACK_W,0.0,18.487625700279047,3.1508840210427764,3.1508840210427764,0.0,0.0,0.0,0.0,0.0
d689a5ce1c005046,ATTACK_W,0.0,18.399988973295223,1.3902220749906247,1.3902220749906247,0.0,0.0,0.0,0.0,0.0
d1cc090b9e2cd711,ATTACK_W,0.0,17.932412038788236,0.6350484738323039,0.6350484738323039,0.0,0.0,0.0,0.0,0.0
72317bdb96fcaf40,ATTACK_W,0.0,18.004862773399747,0.24157333897321734,0.24157333897321734,0.0,0.0,0.0,0.0,0.0
d6e2e59f5175f3b1,ATTACK_W,0.0,18.383546510216142,2.400250549164888,2.400250549164888,0.0,0.0,0.0,0.0,0.0
20e4d2e0e2faa399,ATTACK_W,0.0,17.681528453516158,-1.615743136820093,-1.615743136820093,1.615743136820093,1.615743136820093,0.0,0.0,0.0
334369c1dd6c8d12,ATTACK_W,0.0,18.145112574901347,-1.0381446014717381,-1.0381446014717381,1.0381446014717381,1.0381446014717381,0.0,0.0,0.0
d53997165bac5f34,ATTACK_W,0.0,18.41967585134068,1.7329211920408887,1.7329211920408887,0.0,0.0,0.0,0.0,0.0
5205ca502c2c02f6,ATTACK_W,0.0,17.745118469770517,0.19442027767249506,0.19442027767249506,0.0,0.0,0.0,0.0,0.0
f9fe652653496246,ATTACK_W,0.0,18.50809373748447,2.5478266152122915,2.5478266152122915,0.0,0.0,0.0,0.0,0.0
8f55426dca8a5f13,ATTACK_W,0.0,18.290911909708935,1.8251302787766817,1.8251302787766817,0.0,0.0,0.0,0.0,0.0
