rho,depth,attack,eps,pid,safe,eta,C_mean,C_rms,C95,C_max,m_mean,m_std,m_min
0.25,3,authority_test,0.0,018ccdd70b67d50b,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,0545ede9161cd87b,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,0822110b214bf434,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,0dbb1e13fa00f0f6,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,0e2ca3a9a1e8e218,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,101df2256aecf75b,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,1717ce53958590ba,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,1868815d0a7c6716,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,1991ac094bc47b5a,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,1e9be34e7c154aee,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,245b8a2be8abc37e,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,2982eb379acc1dcf,0.008163265306122436,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,2a7630b9ddded8d5,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,3159f31edc896059,0.008196721311475419,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,3605a51c50d5daa0,0.007352941176470562,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,38e3fe88a50cb3ef,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,3a831f177b4c7882,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,41450c0e975a1c31,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,4381c0fb4c396040,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,44e03bc01ee3055a,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,47bf27669a8fa08a,0.0073800738007380184,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,486ee1ca9e71adc6,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,4910c9193fca9a21,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,4a78cd4f429333ac,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,4d3a619d3d16b595,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,4e12766ab5ee9a6f,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,5406f38bad958fff,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,5b6660299c28d21a,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,5d8a6dda9c034943,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,6354b26bfd6b0d3b,0.007092198581560294,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,663b72de42e74e86,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,66eb648c6256c151,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,67f63c1627c03412,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,6d1d8e613ece86e7,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,6f3466b968e73ba3,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,71fe74132803f26b,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,76825b753db42030,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,78001bdfb89f1ad1,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,7b925779bf22fd74,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,7be724e7d2299999,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,82da82d3e55219a5,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,8acfa77cf5234bd4,0.03587658454915088,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,9332a9cf5d92314a,0.008163265306122436,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,9f60113cec74b0ee,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,a2f68f9c135648a0,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,a3ecb75bd15d05d8,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,a4a471e79162ce6a,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,aa0070de67183c08,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,aa6bc6d9ff6d7768,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,acd5a3fd547677f6,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,b5124e1b88000bd7,0.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,b62f26029c55da5d,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,b7036711cecf282e,1.0,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,bc83dba623c24f83,0.007843137254901933,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
0.25,3,authority_test,0.0,bd981ed06e640944,0.008438818565400852,0.24509626488230085,0.012643443336599988,0.019166592364487086,0.046428472904559974,0.05000000221148287,-1.5629298005785262,4.324822017124721,-26.32982063293457
