pid,family,epsilon,d_attacked,risk_eligible,arm,action,q_raw,q_ctrl,clipped
831be4ec0f3d0755,ATTACK_V,0.0,-0.7166619261083845,True,LINEAR,0.5220664294483126,0.02138530776178272,0.02138530776178272,False
be52d29083a0a611,ATTACK_V,0.0,1.185930782538366,False,LINEAR,0.0,0.0,0.0,False
39b0e9efaa0186a9,ATTACK_V,0.0,2.2636347635902023,False,LINEAR,0.0,0.0,0.0,False
9d87e170fa249b26,ATTACK_V,0.0,0.8678443760613372,False,LINEAR,0.0,0.0,0.0,False
c7b5e9c2b93b33ba,ATTACK_V,0.0,0.4803151868188134,False,LINEAR,0.0,0.0,0.0,False
b7684d00224e5eb6,ATTACK_V,0.0,1.853895122862261,False,LINEAR,0.0,0.0,0.0,False
7a9219644ec13a54,ATTACK_V,0.0,1.63783503231294,False,LINEAR,0.0,0.0,0.0,False
78c5e126f9542b14,ATTACK_V,0.0,0.6305420753451488,False,LINEAR,0.0,0.0,0.0,False
09531d7197119c2f,ATTACK_V,0.0,1.648838607988879,False,LINEAR,0.0,0.0,0.0,False
0d375627429d8042,ATTACK_V,0.0,1.2633967154122865,False,LINEAR,0.0,0.0,0.0,False
55f9c59fd158cac8,ATTACK_V,0.0,1.572860630446891,False,LINEAR,0.0,0.0,0.0,False
413e0658a0cf15bf,ATTACK_V,0.0,3.077332811862436,False,LINEAR,0.0,0.0,0.0,False
2bd7c304c557d8c0,ATTACK_V,0.0,-0.121815841371827,True,LINEAR,0.08873913771388747,0.0036350044045775735,0.0036350044045775735,False
9defa27a6b22c2f9,ATTACK_V,0.0,3.096213250232589,False,LINEAR,0.0,0.0,0.0,False
3004e146fef298b8,ATTACK_V,0.0,-1.131091171149896,True,LINEAR,0.8239655374317056,0.03375194344846162,0.03375194344846162,False
21736eae19e386dc,ATTACK_V,0.0,1.2253989129722194,False,LINEAR,0.0,0.0,0.0,False
9611598cc65d69fa,ATTACK_V,0.0,2.0074572306451963,False,LINEAR,0.0,0.0,0.0,False
31f5c53c66302ff2,ATTACK_V,0.0,0.8775579392788186,False,LINEAR,0.0,0.0,0.0,False
95ca5dea8e2b3cf8,ATTACK_V,0.0,2.3237768933176697,False,LINEAR,0.0,0.0,0.0,False
98c7b120d261ff71,ATTACK_V,0.0,0.2984891915860126,False,LINEAR,0.0,0.0,0.0,False
28a5d0b440fd164f,ATTACK_V,0.0,2.361296230532683,False,LINEAR,0.0,0.0,0.0,False
3a591ca10d2d9f6b,ATTACK_V,0.0,1.059790812021765,False,LINEAR,0.0,0.0,0.0,False
de661d6efbbac197,ATTACK_V,0.0,-0.3165760762682484,True,LINEAR,0.23061604888596515,0.009446681307289397,0.009446681307289397,False
66a47f73b68860ea,ATTACK_V,0.0,0.5220118981178846,False,LINEAR,0.0,0.0,0.0,False
ede494c3c55ed179,ATTACK_V,0.0,1.8858567265624897,False,LINEAR,0.0,0.0,0.0,False
9f2ac9a8bb12d880,ATTACK_V,0.0,0.1690892803711625,False,LINEAR,0.0,0.0,0.0,False
33eae21daeb16a3e,ATTACK_V,0.0,2.4018865977355426,False,LINEAR,0.0,0.0,0.0,False
491b9ab1ba55320a,ATTACK_V,0.0,0.1705689187288867,False,LINEAR,0.0,0.0,0.0,False
466474aa31c9bb42,ATTACK_V,0.0,1.2161210759528849,False,LINEAR,0.0,0.0,0.0,False
7c35ca3dca590a32,ATTACK_V,0.0,1.055858034734924,False,LINEAR,0.0,0.0,0.0,False
38d3b4cc6c781f52,ATTACK_V,0.0,1.3539018716048796,False,LINEAR,0.0,0.0,0.0,False
4d9feb7a70e15c07,ATTACK_V,0.0,1.5421838503622247,False,LINEAR,0.0,0.0,0.0,False
9116f608b27436f4,ATTACK_V,0.0,0.5450815864618463,False,LINEAR,0.0,0.0,0.0,False
c589f621eca6cbab,ATTACK_V,0.0,1.28373913677678,False,LINEAR,0.0,0.0,0.0,False
1fcf8428b74b84e5,ATTACK_V,0.0,1.4705280936855651,False,LINEAR,0.0,0.0,0.0,False
a14cf317e0f58657,ATTACK_V,0.0,1.010041340731963,False,LINEAR,0.0,0.0,0.0,False
318ea3f59465e792,ATTACK_V,0.0,2.127085004947211,False,LINEAR,0.0,0.0,0.0,False
3792f7165ee13c98,ATTACK_V,0.0,1.3470467449218106,False,LINEAR,0.0,0.0,0.0,False
a2f51d1b55bbf2ef,ATTACK_V,0.0,2.643215041151228,False,LINEAR,0.0,0.0,0.0,False
14893f98b108691b,ATTACK_V,0.0,0.5144216221301315,False,LINEAR,0.0,0.0,0.0,False
5847e0563a0f5cc3,ATTACK_V,0.0,0.8876108584311077,False,LINEAR,0.0,0.0,0.0,False
db8de0d1623aa59b,ATTACK_V,0.0,3.2106554097158884,False,LINEAR,0.0,0.0,0.0,False
4a0943c73292119a,ATTACK_V,0.0,1.7812380953686424,False,LINEAR,0.0,0.0,0.0,False
