pid,family,epsilon,h_attacked_norm,d_clean,d_attacked,x_clean,x_attacked,risk_eligible,delta_d,delta_x,delta_r_R
37264450fc0becb2,ATTACK_V,0.0,18.472303378233825,0.8020930308935565,0.8020930308935565,0.0,0.0,False,0.0,0.0,0.0
6d2b4e989c263bbc,ATTACK_V,0.0,18.15791682250887,1.9820871560700901,1.9820871560700901,0.0,0.0,False,0.0,0.0,0.0
3eef19930560cdcf,ATTACK_V,0.0,18.410844301381697,2.0408587509119345,2.0408587509119345,0.0,0.0,False,0.0,0.0,0.0
3b7bd38d8ad7ecb0,ATTACK_V,0.0,18.394929807713787,1.9142257855780038,1.9142257855780038,0.0,0.0,False,0.0,0.0,0.0
243004c4f43f4642,ATTACK_V,0.0,18.10546491515508,1.330944299762614,1.330944299762614,0.0,0.0,False,0.0,0.0,0.0
56b6a7f6a8766e52,ATTACK_V,0.0,18.54331520628046,0.09906699720861761,0.09906699720861761,0.0,0.0,False,0.0,0.0,0.0
49c5db8ffa30b955,ATTACK_V,0.0,18.542078455210948,0.5113486156015647,0.5113486156015647,0.0,0.0,False,0.0,0.0,0.0
11462b7d81125465,ATTACK_V,0.0,18.34667111740001,2.612883029081071,2.612883029081071,0.0,0.0,False,0.0,0.0,0.0
423489f77848d89a,ATTACK_V,0.0,18.10766481940205,1.5402152466366936,1.5402152466366936,0.0,0.0,False,0.0,0.0,0.0
3c1904b700e3395f,ATTACK_V,0.0,18.10029048514986,1.593504371031717,1.593504371031717,0.0,0.0,False,0.0,0.0,0.0
52e04c41e56cfa65,ATTACK_V,0.0,18.571313046101977,2.1284863288579583,2.1284863288579583,0.0,0.0,False,0.0,0.0,0.0
831be4ec0f3d0755,ATTACK_V,0.0,18.213943947535004,-0.7166619261083845,-0.7166619261083845,0.7166619261083845,0.7166619261083845,True,0.0,0.0,0.0
be52d29083a0a611,ATTACK_V,0.0,18.239811284306032,1.185930782538366,1.185930782538366,0.0,0.0,False,0.0,0.0,0.0
39b0e9efaa0186a9,ATTACK_V,0.0,18.237902061532562,2.2636347635902023,2.2636347635902023,0.0,0.0,False,0.0,0.0,0.0
9d87e170fa249b26,ATTACK_V,0.0,18.31851934769009,0.8678443760613372,0.8678443760613372,0.0,0.0,False,0.0,0.0,0.0
c7b5e9c2b93b33ba,ATTACK_V,0.0,18.189313607440887,0.48031518681881347,0.48031518681881347,0.0,0.0,False,0.0,0.0,0.0
b7684d00224e5eb6,ATTACK_V,0.0,18.21707872033842,1.853895122862261,1.853895122862261,0.0,0.0,False,0.0,0.0,0.0
7a9219644ec13a54,ATTACK_V,0.0,18.404523690115884,1.63783503231294,1.63783503231294,0.0,0.0,False,0.0,0.0,0.0
78c5e126f9542b14,ATTACK_V,0.0,18.16866210298561,0.6305420753451488,0.6305420753451488,0.0,0.0,False,0.0,0.0,0.0
09531d7197119c2f,ATTACK_V,0.0,18.037418706733373,1.648838607988879,1.648838607988879,0.0,0.0,False,0.0,0.0,0.0
0d375627429d8042,ATTACK_V,0.0,18.35435859410706,1.2633967154122863,1.2633967154122863,0.0,0.0,False,0.0,0.0,0.0
55f9c59fd158cac8,ATTACK_V,0.0,18.26344437801141,1.572860630446891,1.572860630446891,0.0,0.0,False,0.0,0.0,0.0
413e0658a0cf15bf,ATTACK_V,0.0,18.570759032498437,3.077332811862436,3.077332811862436,0.0,0.0,False,0.0,0.0,0.0
2bd7c304c557d8c0,ATTACK_V,0.0,18.043186654312304,-0.12181584137182705,-0.12181584137182705,0.12181584137182705,0.12181584137182705,True,0.0,0.0,0.0
9defa27a6b22c2f9,ATTACK_V,0.0,18.541072442752146,3.096213250232589,3.096213250232589,0.0,0.0,False,0.0,0.0,0.0
3004e146fef298b8,ATTACK_V,0.0,17.60628339432659,-1.1310911711498959,-1.1310911711498959,1.1310911711498959,1.1310911711498959,True,0.0,0.0,0.0
21736eae19e386dc,ATTACK_V,0.0,18.257053602187227,1.2253989129722194,1.2253989129722194,0.0,0.0,False,0.0,0.0,0.0
9611598cc65d69fa,ATTACK_V,0.0,18.258250501198777,2.0074572306451963,2.0074572306451963,0.0,0.0,False,0.0,0.0,0.0
31f5c53c66302ff2,ATTACK_V,0.0,18.251171323913454,0.8775579392788186,0.8775579392788186,0.0,0.0,False,0.0,0.0,0.0
95ca5dea8e2b3cf8,ATTACK_V,0.0,18.48283729433364,2.3237768933176697,2.3237768933176697,0.0,0.0,False,0.0,0.0,0.0
98c7b120d261ff71,ATTACK_V,0.0,17.748009188154573,0.29848919158601267,0.29848919158601267,0.0,0.0,False,0.0,0.0,0.0
28a5d0b440fd164f,ATTACK_V,0.0,18.334318783629225,2.361296230532683,2.361296230532683,0.0,0.0,False,0.0,0.0,0.0
3a591ca10d2d9f6b,ATTACK_V,0.0,18.10295040371694,1.059790812021765,1.059790812021765,0.0,0.0,False,0.0,0.0,0.0
de661d6efbbac197,ATTACK_V,0.0,18.172883809313642,-0.31657607626824846,-0.31657607626824846,0.31657607626824846,0.31657607626824846,True,0.0,0.0,0.0
66a47f73b68860ea,ATTACK_V,0.0,18.25975890488199,0.5220118981178846,0.5220118981178846,0.0,0.0,False,0.0,0.0,0.0
ede494c3c55ed179,ATTACK_V,0.0,18.477320137033885,1.8858567265624897,1.8858567265624897,0.0,0.0,False,0.0,0.0,0.0
9f2ac9a8bb12d880,ATTACK_V,0.0,18.125714134692448,0.16908928037116258,0.16908928037116258,0.0,0.0,False,0.0,0.0,0.0
33eae21daeb16a3e,ATTACK_V,0.0,18.42354729037893,2.4018865977355426,2.4018865977355426,0.0,0.0,False,0.0,0.0,0.0
491b9ab1ba55320a,ATTACK_V,0.0,18.150773450246298,0.17056891872888674,0.17056891872888674,0.0,0.0,False,0.0,0.0,0.0
466474aa31c9bb42,ATTACK_V,0.0,18.223014197634306,1.2161210759528847,1.2161210759528847,0.0,0.0,False,0.0,0.0,0.0
7c35ca3dca590a32,ATTACK_V,0.0,18.33462208031969,1.055858034734924,1.055858034734924,0.0,0.0,False,0.0,0.0,0.0
38d3b4cc6c781f52,ATTACK_V,0.0,18.26319607824072,1.3539018716048796,1.3539018716048796,0.0,0.0,False,0.0,0.0,0.0
4d9feb7a70e15c07,ATTACK_V,0.0,18.196950230117306,1.5421838503622247,1.5421838503622247,0.0,0.0,False,0.0,0.0,0.0
9116f608b27436f4,ATTACK_V,0.0,18.21270366649706,0.5450815864618463,0.5450815864618463,0.0,0.0,False,0.0,0.0,0.0
c589f621eca6cbab,ATTACK_V,0.0,18.42704561458907,1.28373913677678,1.28373913677678,0.0,0.0,False,0.0,0.0,0.0
1fcf8428b74b84e5,ATTACK_V,0.0,18.081153329107035,1.4705280936855651,1.4705280936855651,0.0,0.0,False,0.0,0.0,0.0
a14cf317e0f58657,ATTACK_V,0.0,18.140573165119534,1.010041340731963,1.010041340731963,0.0,0.0,False,0.0,0.0,0.0
318ea3f59465e792,ATTACK_V,0.0,18.135293658418007,2.127085004947211,2.127085004947211,0.0,0.0,False,0.0,0.0,0.0
3792f7165ee13c98,ATTACK_V,0.0,18.16865537519983,1.3470467449218106,1.3470467449218106,0.0,0.0,False,0.0,0.0,0.0
a2f51d1b55bbf2ef,ATTACK_V,0.0,18.541967376531243,2.643215041151228,2.643215041151228,0.0,0.0,False,0.0,0.0,0.0
14893f98b108691b,ATTACK_V,0.0,17.851031749187886,0.5144216221301315,0.5144216221301315,0.0,0.0,False,0.0,0.0,0.0
5847e0563a0f5cc3,ATTACK_V,0.0,18.081182442277136,0.8876108584311077,0.8876108584311077,0.0,0.0,False,0.0,0.0,0.0
db8de0d1623aa59b,ATTACK_V,0.0,18.509401012595283,3.2106554097158884,3.2106554097158884,0.0,0.0,False,0.0,0.0,0.0
4a0943c73292119a,ATTACK_V,0.0,18.259841926593452,1.7812380953686424,1.7812380953686424,0.0,0.0,False,0.0,0.0,0.0
b37804d090f0d8b5,ATTACK_V,0.0,18.229114040268907,1.7839949720968298,1.7839949720968298,0.0,0.0,False,0.0,0.0,0.0
1e0ead3f979a4789,ATTACK_V,0.0,18.12986704039435,-0.2790758098956978,-0.2790758098956978,0.2790758098956978,0.2790758098956978,True,0.0,0.0,0.0
bfbf247b2ad493b2,ATTACK_V,0.0,18.080125201884965,-0.21039823387502338,-0.21039823387502338,0.21039823387502338,0.21039823387502338,True,0.0,0.0,0.0
f1558023902cd327,ATTACK_V,0.0,18.2675468251348,2.1140218820926986,2.1140218820926986,0.0,0.0,False,0.0,0.0,0.0
4f5d7c1bd2fe6b80,ATTACK_V,0.0,18.040508399996956,1.877523305945238,1.877523305945238,0.0,0.0,False,0.0,0.0,0.0
0e3ee686e47638fa,ATTACK_V,0.0,18.4838702350664,1.538806428460928,1.538806428460928,0.0,0.0,False,0.0,0.0,0.0
be618245b335513d,ATTACK_V,0.0,17.934790894452167,2.2265229714024777,2.2265229714024777,0.0,0.0,False,0.0,0.0,0.0
f6912f2906259a68,ATTACK_V,0.0,18.568379009365316,1.4304507405139737,1.4304507405139737,0.0,0.0,False,0.0,0.0,0.0
d75475a175ef31e9,ATTACK_V,0.0,18.716559049381242,2.6460425904054943,2.6460425904054943,0.0,0.0,False,0.0,0.0,0.0
9a826d8d143f394a,ATTACK_V,0.0,18.311542392772896,0.1388276363401813,0.1388276363401813,0.0,0.0,False,0.0,0.0,0.0
2fea382ed5d7a63c,ATTACK_V,0.0,18.629827123625084,1.841505823644976,1.841505823644976,0.0,0.0,False,0.0,0.0,0.0
bd90dcd161de5462,ATTACK_V,0.0,18.21179765065635,1.2654296533745095,1.2654296533745095,0.0,0.0,False,0.0,0.0,0.0
d6246c2a0a9bcc6d,ATTACK_V,0.0,18.1063785838073,2.45821605588431,2.45821605588431,0.0,0.0,False,0.0,0.0,0.0
fbf4f4466ece77b6,ATTACK_V,0.0,18.390675244029893,1.6911713438781026,1.6911713438781026,0.0,0.0,False,0.0,0.0,0.0
d3179f87b6189732,ATTACK_V,0.0,17.84781236515645,-0.18852819977276533,-0.18852819977276533,0.18852819977276533,0.18852819977276533,True,0.0,0.0,0.0
bc4abd15cfe7f406,ATTACK_V,0.0,18.00225388511567,0.45869014079276804,0.45869014079276804,0.0,0.0,False,0.0,0.0,0.0
acb2ba2331092d2f,ATTACK_V,0.0,18.3550795798643,1.84359148005129,1.84359148005129,0.0,0.0,False,0.0,0.0,0.0
4a2576ebbd65ed11,ATTACK_V,0.0,18.026621821989778,1.1752380547732146,1.1752380547732146,0.0,0.0,False,0.0,0.0,0.0
f9e5a40b1dcb95e1,ATTACK_V,0.0,18.48783691765799,-0.6422167331552447,-0.6422167331552447,0.6422167331552447,0.6422167331552447,True,0.0,0.0,0.0
92c72cca0c26c7b0,ATTACK_V,0.0,18.292915822423417,1.9243649793931659,1.9243649793931659,0.0,0.0,False,0.0,0.0,0.0
afda7bae39eb8e74,ATTACK_V,0.0,18.40409025328879,2.8259409667134308,2.8259409667134308,0.0,0.0,False,0.0,0.0,0.0
2be2d8a6524d4e95,ATTACK_V,0.0,18.499503503579465,-1.0229034893439826,-1.0229034893439826,1.0229034893439826,1.0229034893439826,True,0.0,0.0,0.0
00299769c3350f67,ATTACK_V,0.0,18.11373209694579,1.5806395458341267,1.5806395458341267,0.0,0.0,False,0.0,0.0,0.0
5073c46fe5b4f7f5,ATTACK_V,0.0,18.043635250833383,2.0609168932787005,2.0609168932787005,0.0,0.0,False,0.0,0.0,0.0
56c979852c841d14,ATTACK_V,0.0,18.131992634076674,0.6082549859822755,0.6082549859822755,0.0,0.0,False,0.0,0.0,0.0
c32c79b88d316b8f,ATTACK_V,0.0,18.431347074668373,2.280633996307836,2.280633996307836,0.0,0.0,False,0.0,0.0,0.0
fd28ebe017d3c31e,ATTACK_V,0.0,18.208276534303167,0.9335364951669679,0.9335364951669679,0.0,0.0,False,0.0,0.0,0.0
c0d92c72d4bd1fbc,ATTACK_V,0.0,18.052592071985863,1.8454033315749288,1.8454033315749288,0.0,0.0,False,0.0,0.0,0.0
071fc0c529290e68,ATTACK_V,0.0,18.436906140403824,2.673651858836546,2.673651858836546,0.0,0.0,False,0.0,0.0,0.0
065bb785faca2fc6,ATTACK_V,0.0,18.019137870726716,0.7341171035697522,0.7341171035697522,0.0,0.0,False,0.0,0.0,0.0
329bdca8e698833b,ATTACK_V,0.0,17.847944107599787,-0.2562939995086385,-0.2562939995086385,0.2562939995086385,0.2562939995086385,True,0.0,0.0,0.0
c82cf581adf530f2,ATTACK_V,0.0,17.96066197712749,2.6760895674685874,2.6760895674685874,0.0,0.0,False,0.0,0.0,0.0
654f12e8302522d4,ATTACK_V,0.0,17.83207858181965,-0.5440045919242514,-0.5440045919242514,0.5440045919242514,0.5440045919242514,True,0.0,0.0,0.0
1cf34dd5e974281d,ATTACK_V,0.0,17.941865845698903,-0.39686179140151945,-0.39686179140151945,0.39686179140151945,0.39686179140151945,True,0.0,0.0,0.0
04487f7b09f2ccf0,ATTACK_V,0.0,18.561827602085945,1.988026233782696,1.988026233782696,0.0,0.0,False,0.0,0.0,0.0
1ae5c189bcc54586,ATTACK_V,0.0,18.028353253285495,2.68564869349533,2.68564869349533,0.0,0.0,False,0.0,0.0,0.0
618082a45379d1f7,ATTACK_V,0.0,18.493278682191576,2.0664057154498963,2.0664057154498963,0.0,0.0,False,0.0,0.0,0.0
510af02ef4ec66f9,ATTACK_V,0.0,17.983777537699034,0.060062916401012065,0.060062916401012065,0.0,0.0,False,0.0,0.0,0.0
65ec1c1ef0a1459b,ATTACK_V,0.0,18.26650455504719,-0.6374029837907367,-0.6374029837907367,0.6374029837907367,0.6374029837907367,True,0.0,0.0,0.0
1355c34df2a89478,ATTACK_V,0.0,18.3490783951051,1.40270405446602,1.40270405446602,0.0,0.0,False,0.0,0.0,0.0
387398b881e57c47,ATTACK_V,0.0,18.134753569761536,0.7000888612915211,0.7000888612915211,0.0,0.0,False,0.0,0.0,0.0
70bd00587f9fd897,ATTACK_V,0.0,18.179402871108405,0.6205192617984963,0.6205192617984963,0.0,0.0,False,0.0,0.0,0.0
4755e111544bce6e,ATTACK_V,0.0,18.105925749748717,0.07063051776884444,0.07063051776884444,0.0,0.0,False,0.0,0.0,0.0
0825d5421907d0b6,ATTACK_V,0.0,17.87277614262796,1.6390494823458202,1.6390494823458202,0.0,0.0,False,0.0,0.0,0.0
41db2ac391c7f8b8,ATTACK_V,0.0,18.542276349184675,1.467845698457558,1.467845698457558,0.0,0.0,False,0.0,0.0,0.0
77736b287617640d,ATTACK_V,0.0,18.097292076218256,1.8326185564800526,1.8326185564800526,0.0,0.0,False,0.0,0.0,0.0
2374dba23ed4b2db,ATTACK_V,0.0,18.05530744780868,0.08115664436491932,0.08115664436491932,0.0,0.0,False,0.0,0.0,0.0
93e4b32f7355cd02,ATTACK_V,0.0,18.242475540628323,2.552063409664574,2.552063409664574,0.0,0.0,False,0.0,0.0,0.0
8d2d07c9c3ba7fc9,ATTACK_V,0.0,17.900845259803848,1.6591042219846384,1.6591042219846384,0.0,0.0,False,0.0,0.0,0.0
1975744946fdf6c5,ATTACK_V,0.0,18.404007192583173,1.4723314973129553,1.4723314973129553,0.0,0.0,False,0.0,0.0,0.0
bb6eda0b2a6bc572,ATTACK_V,0.0,18.253208133068078,0.38178061554773474,0.38178061554773474,0.0,0.0,False,0.0,0.0,0.0
