rho_key,pid,auc
0.25,1858440f8e41ea5f,1.0000000000000002
0.25,f84c728e4976c582,0.0
0.25,4770519fdde88795,1.0000000000000002
0.25,b8e9774ab01e9d45,0.08981693415146452
0.25,5c01d917bc95b0a1,0.0
0.25,7b9de626357f28c6,1.0000000000000002
0.25,616497b1f3d9e390,1.0000000000000002
0.25,d6225d41b2483d8c,1.0000000000000002
0.25,be8e50b157907083,1.0000000000000002
0.25,d0c9fd9d0a440f8a,1.0000000000000002
0.25,a09f19e3c98abbe0,1.0000000000000002
0.25,c2a8a445f4fd9bc7,0.37414187591408554
0.25,18288c2a27d85724,1.0000000000000002
0.25,914a129664cc7061,1.0000000000000002
0.25,55952de3dc31c800,1.0000000000000002
0.25,6e267684a880d520,1.0000000000000002
0.25,0e21a3bfdb2b6e1a,0.6247139586380285
0.25,4567675a4a0b2cbb,1.0000000000000002
0.25,1fa1d530d2fca75c,1.0000000000000002
0.25,d5ca65ec83721eb1,0.0
0.25,01b698d7d745c7d5,0.0
0.25,544d8e2b40db7763,0.0
0.25,0791adad84120250,1.0000000000000002
0.25,8c829a98a2582094,0.0
0.25,9f8e0985fdd0f0af,0.08981693415146452
0.25,f96745e23ea3a71f,0.0
0.25,389e575ba0a40e9c,1.0000000000000002
0.25,12b94fbf341b142c,1.0000000000000002
0.25,c991e971333e6ae8,0.0
0.25,5f3a094bffed4a07,0.0
0.25,62ab5aef9ad1be4d,0.7494279172760571
0.25,e7865558d29e683e,0.37414187591408554
0.25,b664a205e95da3e4,0.0
0.25,85e833f2e69c8eb2,1.0000000000000002
0.25,a4c0a3c16677eb27,0.7494279172760571
0.25,da56cb67614dc613,1.0000000000000002
0.25,d7edd5c1052bba91,0.0
0.25,c137f0841de67c0b,1.0000000000000002
0.25,df67f8095d258f61,0.0
0.25,7f4060b2ba96d137,1.0000000000000002
0.25,69ba82dc73981083,1.0000000000000002
0.25,d16b07da6ce739b7,1.0000000000000002
0.25,508d5823601e198a,0.0
0.25,39dec1f52b1e93cd,1.0000000000000002
0.25,16a994f1d87e6471,1.0000000000000002
0.25,61a09f4454295c91,0.0
0.25,d7c4f52710f1fc65,0.0
0.25,2e462c3d5a15b7bd,0.25057208272394293
0.25,9068b1ccc3a9399c,0.0
0.25,76a42b5655d4a0be,0.0
0.25,582a592bfbddc0ff,0.0
0.25,765d10d4d2c416cd,1.0000000000000002
0.25,da210f0559bbe8dc,1.0000000000000002
0.25,f7e7afd2deb197b0,1.0000000000000002
0.25,9437423b8ad03824,0.0
0.25,ae67d22cdaa0794f,1.0000000000000002
0.25,eaaa21fa1b9e4a69,0.0
0.25,6da6c3252a2d1bac,0.7494279172760571
0.25,68fb881d1cac53fe,1.0000000000000002
0.25,225b57fd63404097,0.0
0.25,0f73df0c247d6c68,1.0000000000000002
0.25,c017f16f403ea16d,1.0000000000000002
0.25,7c13f523be7d6736,0.7494279172760571
0.25,25a0c52eca8fcb4a,1.0000000000000002
0.25,2d7b739387263a9d,1.0000000000000002
0.25,efe4359f1e0a0903,0.7494279172760571
0.25,4e88b51c93844ead,1.0000000000000002
0.25,725496d45b624240,1.0000000000000002
0.25,549e8c9f3eaa6483,0.0
0.25,237c8fee04658ce1,1.0000000000000002
0.25,81c2cbf1193bc1dc,1.0000000000000002
0.25,1e4f10d1d4c41691,1.0000000000000002
0.25,ab617f83f2f06fe8,1.0000000000000002
0.25,dc68cc6407abf8a1,0.0
0.25,d8d1c90ecab8db93,1.0000000000000002
0.25,fb876ee81650ff9d,1.0000000000000002
0.25,9ac7077facf41f79,1.0000000000000002
0.25,b0f704b34bba4d32,1.0000000000000002
0.25,eff9044acf7f4c30,1.0000000000000002
0.25,7382aa30d498e7b5,1.0000000000000002
0.28,1858440f8e41ea5f,1.0000000000000002
0.28,f84c728e4976c582,0.0
0.28,4770519fdde88795,1.0000000000000002
0.28,b8e9774ab01e9d45,0.08981693415146452
0.28,5c01d917bc95b0a1,0.0
0.28,7b9de626357f28c6,1.0000000000000002
