family,seed,R_worst,eta,selfsim,max_weak_run,mean_nn,discrepancy,entropy,max_gap_span
L8_cantor,0,0.52125,0.2508499752417387,0.999999999999969,0.3456790123456791,0.02061351389220664,0.1567104739147751,1.2427477304569319,0.004115226337448652
L6_shuffled,1,0.52125,0.24582440689201968,0.09451930262486918,0.3539094650205762,0.021452171588951404,0.22733306783485985,1.2427477304569319,0.004115226337449207
L7_center_anchored,1,0.52125,0.2738419634264361,0.0976743220829338,0.34567901234567894,0.020813003835404905,0.21565113500597322,1.2427477304569319,0.004115226337449429
L6_shuffled,2,0.51875,0.24582440689201968,0.14601225714624488,0.34979423868312753,0.021333426764875763,0.23171379264569222,1.2427477304569319,0.00411522633744954
L7_center_anchored,2,0.52125,0.2738419634264361,0.13992890894587695,0.34979423868312765,0.02145217113629915,0.20396920217708703,1.2427477304569319,0.004115226337449318
L6_shuffled,3,0.52125,0.2594552721404015,0.15781289646755048,0.3539094650205761,0.021883585841284046,0.2756537899907081,1.2427477304569319,0.004115226337449207
L7_center_anchored,3,0.52125,0.25254789325773785,0.15419356094529568,0.3950617283950617,0.022484745001433045,0.17994159033585563,1.2427477304569319,0.004115226337449318
L6_shuffled,4,0.52125,0.25254789325773785,0.21776454898813935,0.34567901234567905,0.021146943372995972,0.2343687773795305,1.2427477304569319,0.004115226337449318
L7_center_anchored,4,0.52125,0.2665515731416115,0.1361426230967242,0.345679012345679,0.020986070017486758,0.18949953537767172,1.2427477304569319,0.004115226337449096
L6_shuffled,5,0.48125,0.2665515731416115,0.17716663465723237,0.38477366255144024,0.02234121637539522,0.40654453736890983,1.2427477304569319,0.00411522633744954
L7_center_anchored,5,0.52125,0.2594552721404015,0.057832251953177094,0.3497942386831276,0.02115561503817813,0.16082570025222342,1.2427477304569319,0.004115226337449207
L6_shuffled,6,0.46125000000000005,0.289026391002245,0.1702707054157352,0.4629629629629629,0.026304858934008003,0.39844683393070485,1.2427477304569319,0.00411522633744954
L7_center_anchored,6,0.4912500000000001,0.25254789325773785,0.15929189884198358,0.39094650205761317,0.022726163835841133,0.17317137926456938,1.2427477304569319,0.004115226337449096
L6_shuffled,7,0.48125,0.27756159532811975,0.18309682803614769,0.3847736625514403,0.02223548310238808,0.32025753351918224,1.2427477304569319,0.00411522633744954
L7_center_anchored,7,0.49624999999999997,0.2594552721404015,0.10838170333532338,0.390946502057613,0.02268423850412419,0.18405681667330376,1.2427477304569319,0.004115226337449318
L6_shuffled,8,0.4275,0.24582440689201968,0.1714409077321215,0.3539094650205761,0.021815846203574595,0.18817204301075266,1.2427477304569319,0.004115226337449318
L7_center_anchored,8,0.41500000000000004,0.2594552721404015,0.10319936579071443,0.5802469135802468,0.029893891869192536,0.243793973184654,1.2427477304569319,0.004115226337449096
L6_shuffled,9,0.52125,0.25254789325773785,0.11253108851561633,0.3909465020576131,0.022506019904766073,0.2437939731846539,1.2427477304569319,0.004115226337449318
L7_center_anchored,9,0.52125,0.2594552721404015,0.16645368116550918,0.345679012345679,0.020905731853325022,0.18405681667330398,1.2427477304569319,0.004115226337449096
L6_shuffled,10,0.52125,0.2720008821279917,0.1343804205221456,0.34567901234567894,0.022451702990982134,0.1916235231647413,1.2427477304569319,0.004115226337449429
L7_center_anchored,10,0.41500000000000004,0.24582440689201968,0.10247729038653441,0.5061728395061728,0.026402128185771784,0.2561396521970001,1.2427477304569319,0.004115226337449207
L6_shuffled,11,0.5225,0.289026391002245,0.16616194175970822,0.34979423868312765,0.022299911094980234,0.17649011018186644,1.2427477304569319,0.004115226337449096
L7_center_anchored,11,0.52125,0.2738419634264361,0.12838336659690375,0.3456790123456789,0.021570503532436544,0.2321120403557676,1.2427477304569319,0.004115226337449318
L6_shuffled,12,0.41875,0.24582440689201968,0.1594486066539329,0.5020576131687243,0.022569414574538756,0.28428249037568,1.2427477304569319,0.004115226337449207
L7_center_anchored,12,0.44,0.2594552721404015,0.08541565715775712,0.5473251028806582,0.02697665505613607,0.25613965219699963,1.2427477304569319,0.004115226337449318
L6_shuffled,13,0.52125,0.2594552721404015,0.11415356645851504,0.34979423868312753,0.021278698554784214,0.18551705827691511,1.2427477304569319,0.004115226337449096
L7_center_anchored,13,0.4175,0.24582440689201968,0.12107085349407232,0.3497942386831276,0.02162956957090417,0.17781760254878545,1.2427477304569319,0.004115226337449207
